[2025-02-18 22:04:41,406] multiqc                                            [DEBUG  ]  This is MultiQC v1.21
[2025-02-18 22:04:41,443] multiqc                                            [DEBUG  ]  Loading config settings from: multiqc/multiqc_sarek_config.yaml
[2025-02-18 22:04:41,443] multiqc                                            [ERROR  ]  Config 'custom_logo' path not found, skipping (nf-core-sarek_logo_light.png)
[2025-02-18 22:04:41,443] multiqc                                            [DEBUG  ]  New config: {'custom_logo_url': 'https://github.com/nf-core/sarek/', 'custom_logo_title': 'nf-core/sarek', 'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/sarek/releases/tag/3.4.4" target="_blank">nf-core/sarek</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/sarek/3.4.4/docs/output" target="_blank">documentation</a>.\n', 'report_section_order': {'nf-core-sarek-methods-description': {'order': -1000}, 'software_versions': {'order': -1001}, 'nf-core-sarek-summary': {'order': -1002}}, 'export_plots': True, 'disable_version_detection': True, 'run_modules': ['custom_content', 'fastqc', 'fastp', 'picard', 'samtools', 'mosdepth', 'gatk', 'bcftools', 'vcftools', 'snpeff', 'vep'], 'module_order': [{'fastqc': {'name': 'FastQC (raw)', 'path_filters_exclude': ['*_val_*.zip']}}, {'fastp': {'name': 'FastP (Read preprocessing)'}}, {'picard': {'name': 'GATK4 MarkDuplicates', 'info': ' metrics generated either by GATK4 MarkDuplicates or EstimateLibraryComplexity (with --use_gatk_spark).'}}, {'samtools': {'name': 'Samtools Flagstat'}}, {'mosdepth': {'name': 'Mosdepth'}}, {'gatk': {'name': 'GATK4 BQSR'}}, {'bcftools': {'name': 'Bcftools'}}, {'vcftools': {'name': 'Vcftools'}}, {'snpeff': {'name': 'SNPeff'}}, {'vep': {'name': 'VEP'}}], 'sample_names_replace_regex': True, 'sample_names_replace': {'\\.[0-9]{4}$': '.md', 'module': 'picard'}, 'custom_data': {'dedup_metrics': {'id': 'dedup_metrics', 'section_name': 'Sentieon Dedup Metrics', 'plot_type': 'table', 'pconfig': {'id': 'dedup_metrics', 'namespace': 'Sentieon Dedup Metrics'}, 'headers': {'LIBRARY': {'description': 'LIBRARY'}, 'UNPAIRED_READS_EXAMINED': {'description': 'UNPAIRED_READS_EXAMINE'}, 'READ_PAIRS_EXAMINED': {'description': 'READ_PAIRS_EXAMINED'}, 'SECONDARY_OR_SUPPLEMENTARY_RDS': {'description': 'SECONDARY_OR_SUPPLEMENTARY_RDS'}, 'UNMAPPED_READS': {'description': 'UNMAPPED_READS'}, 'UNPAIRED_READ_DUPLICATES': {'description': 'UNPAIRED_READ_DUPLICATES'}, 'READ_PAIR_DUPLICATES': {'description': 'READ_PAIR_DUPLICATES'}, 'READ_PAIR_OPTICAL_DUPLICATES': {'description': 'READ_PAIR_OPTICAL_DUPLICATES'}, 'PERCENT_DUPLICATION': {'description': 'PERCENT_DUPLICATION'}, 'ESTIMATED_LIBRARY_SIZE': {'description': 'ESTIMATED_LIBRARY_SIZE'}}}}, 'plots_force_interactive': True, 'mosdepth_config': {'include_contigs': ['chr*'], 'exclude_contigs': ['*_alt', '*_decoy', '*_random', 'chrUn*', 'HLA*', 'chrM', 'chrEBV']}}
[2025-02-18 22:04:41,443] multiqc                                            [DEBUG  ]  Added to filename patterns: [{'snpeff': {'contents': 'SnpEff_version', 'max_filesize': 5000000}, 'dedup_metrics': {'fn': '*.metrics.multiqc.tsv'}}]
[2025-02-18 22:04:41,443] multiqc                                            [DEBUG  ]  Added to filename clean extensions: [['_val', {'type': 'regex_keep', 'pattern': '^.*.(md|recal).mosdepth.(global|region).dist', 'module': 'mosdepth'}]]
[2025-02-18 22:04:41,443] multiqc                                            [DEBUG  ]  Command used: /usr/local/bin/multiqc -o multiqc/250218 -c multiqc/multiqc_sarek_config.yaml -d -dd -1 .
[2025-02-18 22:04:45,472] multiqc                                            [DEBUG  ]  Timed out after waiting for 2s for multiqc.info to check latest version: HTTPSConnectionPool(host='api.multiqc.info', port=443): Max retries exceeded with url: /version?version_multiqc=1.21&version_python=3.11.8&operating_system=Linux&is_docker=False&is_singularity=True&is_conda=True&is_ci=False (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x1533b105eed0>, 'Connection to api.multiqc.info timed out. (connect timeout=2)'))
[2025-02-18 22:04:45,472] multiqc                                            [DEBUG  ]  Working dir : /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/analysis/nfcore_sarek_rerun
[2025-02-18 22:04:45,472] multiqc                                            [DEBUG  ]  Template    : default
[2025-02-18 22:04:45,472] multiqc                                            [DEBUG  ]  Running Python 3.11.8 | packaged by conda-forge | (main, Feb 16 2024, 20:53:32) [GCC 12.3.0]
