Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167
aviti_hq | KMS12BM.md	100.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	92.0	92.0	91.0	90.0	89.0	88.0	87.0	85.0	83.0	82.0	80.0	78.0	76.0	74.0	73.0	71.0	70.0	69.0	68.0	67.0	65.0	64.0	63.0	62.0	61.0	59.0	57.99999999999999	56.00000000000001	55.00000000000001	53.0	51.0	50.0	48.0	46.0	44.0	42.0	40.0	38.0	36.0	34.0	32.0	30.0	28.000000000000004	27.0	25.0	23.0	22.0	20.0	19.0	18.0	16.0	15.0	14.000000000000002	13.0	12.0	11.0	11.0	10.0	10.0	9.0	8.0	8.0	8.0	7.000000000000001	7.000000000000001	6.0	6.0	6.0	6.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																					
aviti_hq | MM1S.md	100.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	92.0	92.0	92.0	91.0	90.0	90.0	89.0	87.0	86.0	85.0	84.0	83.0	83.0	82.0	81.0	81.0	80.0	80.0	79.0	78.0	78.0	77.0	76.0	74.0	73.0	71.0	69.0	66.0	64.0	61.0	56.99999999999999	54.0	50.0	46.0	42.0	38.0	34.0	30.0	27.0	23.0	21.0	18.0	16.0	14.000000000000002	13.0	11.0	10.0	10.0	9.0	9.0	8.0	8.0	7.000000000000001	7.000000000000001	7.000000000000001	7.000000000000001	6.0	6.0	6.0	6.0	5.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																							
aviti_hq | OPM2.md	100.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	92.0	92.0	92.0	92.0	92.0	91.0	91.0	90.0	90.0	89.0	88.0	87.0	86.0	85.0	84.0	83.0	81.0	80.0	79.0	78.0	76.0	74.0	73.0	71.0	68.0	66.0	63.0	60.0	57.99999999999999	55.00000000000001	52.0	49.0	46.0	43.0	40.0	38.0	35.0	33.0	31.0	28.999999999999996	27.0	25.0	24.0	22.0	20.0	19.0	17.0	16.0	15.0	13.0	12.0	11.0	10.0	9.0	8.0	8.0	7.000000000000001	6.0	6.0	6.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																							
aviti_hq | REH.md	100.0	94.0	94.0	94.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	92.0	92.0	92.0	91.0	91.0	90.0	89.0	89.0	88.0	87.0	87.0	86.0	86.0	86.0	85.0	85.0	84.0	84.0	83.0	82.0	81.0	79.0	77.0	74.0	72.0	68.0	64.0	60.0	56.00000000000001	51.0	46.0	41.0	36.0	32.0	27.0	24.0	20.0	17.0	14.000000000000002	12.0	10.0	8.0	7.000000000000001	6.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																														
aviti_ngi | KMS12BM.md	100.0	94.0	94.0	94.0	93.0	93.0	93.0	92.0	90.0	87.0	83.0	79.0	75.0	70.0	67.0	63.0	57.99999999999999	54.0	49.0	44.0	39.0	34.0	28.999999999999996	24.0	20.0	17.0	14.000000000000002	12.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																																																																				
aviti_ngi | MM1S.md	100.0	94.0	94.0	94.0	93.0	93.0	93.0	92.0	91.0	89.0	87.0	84.0	82.0	80.0	77.0	73.0	68.0	61.0	53.0	45.0	36.0	28.000000000000004	22.0	17.0	13.0	10.0	8.0	7.000000000000001	6.0	5.0	4.0	3.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																																																																													
aviti_ngi | OPM2.md	100.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	92.0	91.0	90.0	89.0	87.0	84.0	81.0	78.0	73.0	68.0	62.0	56.00000000000001	50.0	43.0	37.0	32.0	27.0	23.0	19.0	16.0	13.0	11.0	9.0	7.000000000000001	6.0	5.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																																																													
aviti_ngi | REH.md	100.0	94.0	94.0	93.0	93.0	93.0	92.0	91.0	90.0	88.0	86.0	84.0	81.0	76.0	69.0	59.0	49.0	38.0	28.000000000000004	20.0	14.000000000000002	10.0	7.000000000000001	5.0	4.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																																																																																																																		
xplus_sns | KMS12BM.md	100.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	92.0	92.0	91.0	90.0	88.0	87.0	85.0	83.0	81.0	79.0	77.0	75.0	73.0	72.0	71.0	70.0	69.0	68.0	67.0	66.0	65.0	64.0	63.0	61.0	60.0	57.99999999999999	56.99999999999999	55.00000000000001	53.0	52.0	50.0	48.0	46.0	44.0	42.0	40.0	38.0	35.0	33.0	31.0	28.999999999999996	27.0	25.0	23.0	21.0	20.0	18.0	17.0	16.0	14.000000000000002	13.0	13.0	12.0	11.0	11.0	10.0	9.0	9.0	9.0	8.0	8.0	7.000000000000001	7.000000000000001	7.000000000000001	6.0	6.0	6.0	6.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0														
xplus_sns | MM1S.md	100.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	92.0	92.0	91.0	90.0	89.0	88.0	87.0	86.0	85.0	84.0	83.0	83.0	82.0	82.0	81.0	81.0	81.0	80.0	80.0	79.0	78.0	78.0	77.0	75.0	73.0	71.0	68.0	65.0	62.0	56.99999999999999	53.0	48.0	43.0	38.0	34.0	28.999999999999996	25.0	22.0	19.0	16.0	14.000000000000002	13.0	12.0	11.0	10.0	9.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	7.000000000000001	7.000000000000001	7.000000000000001	6.0	6.0	6.0	5.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																												
