Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
aviti_hq | KMS12BM.md	1077698526.0	0.0	1077698526.0	1.0	538849263.0	538849263.0	1076253220.0	1075163312.0	1445306.0	1062705876.0	1077698526.0	10616316.0	40975923.0	0.0	0.0	3943904.0	161654778900.0	80827389450.0	80827389450.0	161437983000.0	160985094774.0	0.0	1592447400.0	722657638.0	0.004488972	150.0	150.0	150.0	150.0	150.0	150.0	42.6	405.9	91.1	530860284.0	2415598.0	459834.0	3845940.0	98.6	99.86588958181427	99.76475666071384	0.13411041818572553	98.60882708491336	100.0	0.985091446622244	3.8021693461980295	0.0
aviti_hq | MM1S.md	1050671668.0	0.0	1050671668.0	1.0	525335834.0	525335834.0	1049285235.0	1048219962.0	1386433.0	1034838396.0	1050671668.0	14431672.0	43389797.0	0.0	0.0	4303058.0	157600750200.0	78800375100.0	78800375100.0	157392785250.0	156924150309.0	0.0	2164750800.0	769401511.0	0.004903016	150.0	150.0	150.0	150.0	150.0	150.0	42.6	411.1	94.6	516794607.0	2448845.0	604501.0	4262028.0	98.5	99.86804317255084	99.76665345848082	0.13195682744916276	98.49303331552288	100.0	1.3735663042548132	4.129719904087106	0.0
aviti_hq | OPM2.md	1052435496.0	0.0	1052435496.0	1.0	526217748.0	526217748.0	1051169436.0	1050187086.0	1266060.0	1038640560.0	1052435496.0	12326391.0	42243050.0	0.0	0.0	3534626.0	157865324400.0	78932662200.0	78932662200.0	157675415400.0	157239729166.0	0.0	1848958650.0	717474018.0	0.004562931	150.0	150.0	150.0	150.0	150.0	150.0	42.6	400.0	89.2	518908724.0	2355386.0	557819.0	3271614.0	98.7	99.87970189101262	99.7863612536307	0.12029810898738444	98.689236912625	100.0	1.1712253194470361	4.013837442822244	0.0
aviti_hq | REH.md	949612566.0	0.0	949612566.0	1.0	474806283.0	474806283.0	948287255.0	947270554.0	1325311.0	934652328.0	949612566.0	10082941.0	37334619.0	0.0	0.0	3665128.0	142441884900.0	71220942450.0	71220942450.0	142243088250.0	141820575456.0	0.0	1512441150.0	717791994.0	0.005061268	150.0	150.0	150.0	150.0	150.0	150.0	42.4	425.4	95.6	467058157.0	2144472.0	583754.0	3848894.0	98.4	99.86043666149212	99.75337183985832	0.13956333850788574	98.42459561555549	100.0	1.061795237448448	3.9315632855684015	0.0
aviti_ngi | KMS12BM.md	380286030.0	0.0	380286030.0	1.0	190143015.0	190143015.0	379740009.0	379310530.0	546021.0	374937982.0	380286030.0	12836317.0	14904207.0	0.0	0.0	1401922.0	57042904500.0	28521452250.0	28521452250.0	56961001350.0	56789018800.0	0.0	1925447550.0	217962802.0	0.003838115	150.0	150.0	150.0	150.0	150.0	150.0	43.1	392.1	89.4	187124500.0	1006059.0	137016.0	1387690.0	98.6	99.85641833858583	99.74348255706369	0.14358166141417292	98.59367750111673	100.0	3.3754374306097965	3.9192097064412277	0.0
aviti_ngi | MM1S.md	382389406.0	0.0	382389406.0	1.0	191194703.0	191194703.0	381848224.0	381421500.0	541182.0	376503962.0	382389406.0	14214775.0	16276432.0	0.0	0.0	1600308.0	57358410900.0	28679205450.0	28679205450.0	57277233600.0	57090312830.0	0.0	2132216250.0	241424219.0	0.004228812	150.0	150.0	150.0	150.0	150.0	150.0	43.1	397.4	92.6	187863794.0	1038504.0	221034.0	1587418.0	98.5	99.85847358961612	99.746879493832	0.14152641038386926	98.46087681623689	100.0	3.7173558621025187	4.256507043503188	0.0
aviti_ngi | OPM2.md	431226316.0	0.0	431226316.0	1.0	215613158.0	215613158.0	430688901.0	430258054.0	537415.0	425518570.0	431226316.0	15718136.0	17868248.0	0.0	0.0	1454790.0	64683947400.0	32341973700.0	32341973700.0	64603335150.0	64412889603.0	0.0	2357720400.0	241500221.0	0.003749253	150.0	150.0	150.0	150.0	150.0	150.0	43.2	387.2	87.9	212377511.0	1166528.0	200227.0	1384761.0	98.7	99.8753751846629	99.77546314682706	0.1246248153371048	98.67639200386834	100.0	3.644985339902122	4.143589418601253	0.0
aviti_ngi | REH.md	326410728.0	0.0	326410728.0	1.0	163205364.0	163205364.0	325877771.0	325453324.0	532957.0	320963316.0	326410728.0	10324473.0	13264168.0	0.0	0.0	1306021.0	48961609200.0	24480804600.0	24480804600.0	48881665650.0	48720272558.0	0.0	1548670950.0	207197664.0	0.004252802	150.0	150.0	150.0	150.0	150.0	150.0	43.1	410.3	93.6	160280873.0	834848.0	227087.0	1383854.0	98.3	99.83672197195675	99.70668733657553	0.16327802804324495	98.33111735224584	100.0	3.1630311489026792	4.063643398387322	0.0
xplus_sns | KMS12BM.md	1388811542.0	0.0	1388811542.0	1.0	694405771.0	694405771.0	1384526000.0	1382893380.0	4285542.0	1359582450.0	1388811542.0	294779456.0	55317020.0	0.0	0.0	5450509.0	208321731300.0	104160865650.0	104160865650.0	207678900000.0	206286634033.0	0.0	44216918400.0	1010251910.0	0.004897321	150.0	150.0	150.0	150.0	150.0	150.0	38.8	405.8	93.7	678454160.0	3694713.0	718918.0	8578899.0	97.9	99.69142379146501	99.57386860484488	0.308576208534995	97.89538817067232	100.0	21.225302864022424	3.9830472549456966	0.0
xplus_sns | MM1S.md	1374534926.0	0.0	1374534926.0	1.0	687267463.0	687267463.0	1370916147.0	1369417322.0	3618779.0	1343976968.0	1374534926.0	309839136.0	59567955.0	0.0	0.0	5956837.0	206180238900.0	103090119450.0	103090119450.0	205637422050.0	204220422605.0	0.0	46475870400.0	1094564746.0	0.005359722	150.0	150.0	150.0	150.0	150.0	150.0	38.8	411.8	97.2	670567076.0	3725956.0	1101128.0	9314501.0	97.8	99.73672702442484	99.6276846878753	0.2632729755751583	97.77685110636469	100.0	22.541379643342726	4.333680714345122	0.0
xplus_sns | OPM2.md	1573794138.0	0.0	1573794138.0	1.0	786897069.0	786897069.0	1569468408.0	1567832674.0	4325730.0	1543348500.0	1573794138.0	353975355.0	66434788.0	0.0	0.0	5643650.0	236069120700.0	118034560350.0	118034560350.0	235420261200.0	233902454307.0	0.0	53096303250.0	1118649102.0	0.004782545	150.0	150.0	150.0	150.0	150.0	150.0	38.9	400.3	91.8	770354799.0	4131056.0	994392.0	8436090.0	98.1	99.72514003607249	99.62120433314259	0.2748599639275057	98.06546248553887	100.0	22.491846071420557	4.221313728136405	0.0
xplus_sns | REH.md	1281582622.0	0.0	1281582622.0	1.0	640791311.0	640791311.0	1277864519.0	1276323336.0	3718103.0	1250279636.0	1281582622.0	306799539.0	53246960.0	0.0	0.0	5394042.0	192237393300.0	96118696650.0	96118696650.0	191679677850.0	190346023519.0	0.0	46019930850.0	1029916150.0	0.005410757	150.0	150.0	150.0	150.0	150.0	150.0	38.7	424.8	97.8	624172793.0	3418489.0	1081876.0	9488510.0	97.6	99.70988191192873	99.58962567768026	0.290118088071266	97.55747421487743	100.0	23.93911510139063	4.154781680552469	0.0
