# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	80cdd733	108b5e6b	773117c7
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	19573	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	19573
SN	is sorted:	1
SN	1st fragments:	19573
SN	last fragments:	0
SN	reads mapped:	19573
SN	reads mapped and paired:	19573	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	19573	# proper-pair bit set
SN	reads paired:	19573	# paired-end technology bit set
SN	reads duplicated:	164	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	30
SN	total length:	2935950	# ignores clipping
SN	total first fragment length:	2935950	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	2935950	# ignores clipping
SN	bases mapped (cigar):	2610358	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	24600
SN	mismatches:	9234	# from NM fields
SN	error rate:	3.537446e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	44.0
SN	insert size average:	132.7
SN	insert size standard deviation:	13.1
SN	inward oriented pairs:	3500
SN	outward oriented pairs:	6264
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	0	5	2	3	3	4	4	0	7	10	14	18	0	22	30	37	109	422	5366	13509	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	3	0	3	4	2	6	3	5	7	6	11	6	8	7	11	18	17	37	28	41	30	64	52	96	127	211	477	1796	16492	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	4	2	5	4	2	4	5	10	7	9	12	6	9	18	12	12	28	38	25	34	42	61	66	114	145	252	554	1886	16201	0	0	0
FFQ	4	0	0	0	0	0	0	0	2	1	0	0	2	1	2	1	2	5	1	4	1	5	2	6	5	2	14	11	6	11	12	15	22	33	19	31	26	48	50	91	143	197	538	1840	16424	0	0	0
FFQ	5	0	0	0	1	2	0	2	0	0	2	2	2	0	4	1	5	6	6	4	7	11	12	10	7	15	12	15	17	29	27	25	18	36	44	47	54	62	62	137	156	222	479	1976	16056	0	0	0
FFQ	6	0	0	0	0	0	3	1	0	3	4	2	2	0	2	3	3	8	8	4	8	9	3	13	11	17	11	15	14	21	19	34	16	33	43	37	52	69	69	161	139	197	502	1956	16081	0	0	0
FFQ	7	0	0	1	0	0	1	5	3	2	0	2	3	2	3	4	10	5	17	7	9	12	8	16	19	12	20	23	18	31	27	33	41	55	54	36	46	80	74	135	131	211	472	2088	15857	0	0	0
FFQ	8	0	0	1	0	1	0	2	1	0	1	2	3	1	4	4	5	5	4	7	9	7	11	13	14	22	14	18	17	20	25	37	25	39	43	40	50	69	78	130	145	193	482	2040	15991	0	0	0
FFQ	9	0	0	0	2	1	2	1	0	1	2	3	1	2	1	6	7	9	8	13	13	16	14	12	16	15	24	21	38	32	32	36	39	47	58	49	47	79	94	126	128	184	221	293	683	17196	1	0
FFQ	10	0	0	0	3	0	3	2	5	1	7	1	3	3	2	6	4	2	3	6	6	6	14	12	18	17	20	15	24	26	36	34	31	58	55	52	72	80	93	111	138	169	232	293	708	17201	1	0
FFQ	11	0	0	0	1	0	3	2	2	3	1	1	1	4	3	8	6	8	4	5	5	13	16	13	14	13	29	22	24	31	28	24	32	37	41	57	63	95	90	122	143	151	211	275	695	17277	0	0
FFQ	12	0	0	0	2	1	1	0	1	3	0	2	2	2	4	6	6	3	11	6	8	12	19	16	12	18	29	22	22	31	22	22	42	38	46	40	61	77	90	98	138	157	230	275	643	17355	0	0
FFQ	13	0	0	0	2	2	2	1	3	2	3	4	2	1	2	7	7	11	10	7	7	11	8	16	6	11	21	16	31	32	21	21	30	47	42	59	56	74	50	109	125	157	228	257	680	17389	3	0
FFQ	14	0	0	1	1	4	2	2	0	0	6	2	3	2	1	6	6	4	5	7	9	11	10	21	12	18	17	19	26	34	36	30	26	45	42	42	62	74	72	102	116	138	221	293	686	17352	7	0
FFQ	15	0	0	0	1	4	1	1	3	0	3	1	2	2	3	5	2	7	14	7	13	8	13	16	14	17	22	17	18	34	27	26	34	50	39	38	63	82	76	96	125	152	190	265	700	17380	2	0
FFQ	16	0	0	0	3	1	5	1	5	0	1	4	4	3	4	5	5	8	9	10	10	16	9	13	9	20	17	17	34	18	28	35	29	33	51	58	43	68	79	118	118	171	181	349	369	1411	16201	0
FFQ	17	0	0	1	3	3	2	5	2	3	4	5	3	4	7	9	9	5	7	12	7	11	8	15	16	16	16	19	28	27	37	34	30	41	44	49	42	63	92	95	106	155	211	368	359	1537	16063	0
FFQ	18	0	0	0	3	4	7	3	2	1	3	2	4	5	6	4	8	9	6	14	10	12	13	13	17	10	20	11	25	20	25	37	33	40	49	62	42	50	77	97	118	143	184	385	369	1454	16176	0
