## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/xplus_sns_KMS12BM.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/xplus_sns_KMS12BM.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/xplus_sns/outdir/preprocessing/markduplicates/KMS12BM/KMS12BM.md.cram OUTPUT=picard/xplus_sns_KMS12BM.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:29:28 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	28781	16	0.45559	0.002685			
All Reads	ALL	1	96782	12226	16	0.2667	0.002412			
All Reads	ALL	2	112190	16189	16	0.304649	0.002394			
All Reads	ALL	3	143192	25259	17	0.372418	0.002343			
All Reads	ALL	4	154545	33008	17	0.450918	0.002482			
All Reads	ALL	5	158146	38449	17	0.513287	0.002618			
All Reads	ALL	6	179558	54013	17	0.635078	0.002733			
All Reads	ALL	7	193733	63973	18	0.69715	0.002756			
All Reads	ALL	8	221551	75151	18	0.716134	0.002612			
All Reads	ALL	9	251225	99327	18	0.834714	0.002649			
All Reads	ALL	10	295940	127767	18	0.911482	0.00255			
All Reads	ALL	11	361058	164886	18	0.96414	0.002374			
All Reads	ALL	12	469776	216862	19	0.974599	0.002093			
All Reads	ALL	13	618661	300355	20	1.02498	0.00187			
All Reads	ALL	14	876130	429248	20	1.034363	0.001579			
All Reads	ALL	15	1288160	638673	21	1.046748	0.00131			
All Reads	ALL	16	1927535	977229	21	1.070354	0.001083			
All Reads	ALL	17	2894502	1583816	20	1.155219	0.000918			
All Reads	ALL	18	4340874	2381578	20	1.1583	0.000751			
All Reads	ALL	19	6411892	3600674	20	1.18558	0.000625			
All Reads	ALL	20	9263612	5290583	19	1.205748	0.000524			
All Reads	ALL	21	13029780	7262360	20	1.176722	0.000437			
All Reads	ALL	22	17784214	9338996	21	1.108661	0.000363			
All Reads	ALL	23	23595456	12099458	22	1.082607	0.000311			
