## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_ngi_REH.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_ngi_REH.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_ngi/outdir/preprocessing/markduplicates/REH/REH.md.cram OUTPUT=picard/aviti_ngi_REH.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 19:08:45 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	10149	16	0.682497	0.006775			
All Reads	ALL	1	96782	4455	15	0.412853	0.006185			
All Reads	ALL	2	112190	4972	16	0.397483	0.005637			
All Reads	ALL	3	143192	12668	19	0.793472	0.00705			
All Reads	ALL	4	154545	8315	16	0.482558	0.005292			
All Reads	ALL	5	158146	9210	17	0.522328	0.005443			
All Reads	ALL	6	179558	11767	17	0.587764	0.005418			
All Reads	ALL	7	193733	15066	17	0.697487	0.005682			
All Reads	ALL	8	221551	17901	16	0.724679	0.005416			
All Reads	ALL	9	251225	23063	16	0.82337	0.005422			
All Reads	ALL	10	295940	29044	16	0.880227	0.005165			
All Reads	ALL	11	361058	36061	17	0.895783	0.004717			
All Reads	ALL	12	469776	47560	18	0.908015	0.004164			
All Reads	ALL	13	618661	65075	19	0.943417	0.003698			
All Reads	ALL	14	876130	93439	20	0.956537	0.003129			
All Reads	ALL	15	1288160	140145	21	0.975775	0.002607			
All Reads	ALL	16	1927535	216502	21	1.007399	0.002165			
All Reads	ALL	17	2894502	355341	20	1.101066	0.001847			
All Reads	ALL	18	4340874	534388	20	1.104133	0.00151			
All Reads	ALL	19	6411892	806982	20	1.128807	0.001257			
All Reads	ALL	20	9263612	1196842	20	1.158773	0.001059			
All Reads	ALL	21	13029780	1644566	20	1.132026	0.000883			
All Reads	ALL	22	17784214	2112779	22	1.06552	0.000733			
