## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_hq_KMS12BM.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_hq_KMS12BM.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_hq/outdir/preprocessing/markduplicates/KMS12BM/KMS12BM.md.cram OUTPUT=picard/aviti_hq_KMS12BM.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:02:09 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	35654	15	0.72623	0.003846			
All Reads	ALL	1	96782	16395	15	0.460201	0.003594			
All Reads	ALL	2	112190	19595	16	0.474484	0.00339			
All Reads	ALL	3	143192	26064	17	0.494485	0.003063			
All Reads	ALL	4	154545	29875	17	0.52515	0.003038			
All Reads	ALL	5	158146	32191	17	0.552977	0.003082			
All Reads	ALL	6	179558	41652	17	0.630176	0.003088			
All Reads	ALL	7	193733	50971	18	0.714743	0.003166			
All Reads	ALL	8	221551	59809	18	0.73337	0.002999			
All Reads	ALL	9	251225	77070	17	0.833399	0.003002			
All Reads	ALL	10	295940	98381	18	0.903105	0.002879			
All Reads	ALL	11	361058	123442	18	0.928788	0.002644			
All Reads	ALL	12	469776	163523	19	0.945624	0.002338			
All Reads	ALL	13	618661	225736	20	0.99124	0.002086			
All Reads	ALL	14	876130	321786	20	0.997767	0.001759			
All Reads	ALL	15	1288160	478215	21	1.008519	0.001458			
All Reads	ALL	16	1927535	729555	21	1.028221	0.001204			
All Reads	ALL	17	2894502	1159546	20	1.08829	0.001011			
All Reads	ALL	18	4340874	1741615	21	1.089947	0.000826			
All Reads	ALL	19	6411892	2627740	20	1.113337	0.000687			
All Reads	ALL	20	9263612	3847582	20	1.128335	0.000575			
All Reads	ALL	21	13029780	5310415	21	1.10719	0.00048			
All Reads	ALL	22	17784214	6890312	22	1.052531	0.000401			
All Reads	ALL	23	23595456	8955015	23	1.031023	0.000345			
All Reads	ALL	24	30440211	11398012	23	1.017213	0.000301			
All Reads	ALL	25	38161832	13946581	24	0.992817	0.000266			
All Reads	ALL	26	46467619	16817055	24	0.983173	0.00024			
All Reads	ALL	27	55146501	19684952	25	0.969721	0.000219			
All Reads	ALL	28	63905454	22712596	25	0.965516	0.000203			
All Reads	ALL	29	72443004	25656628	25	0.96213	0.00019			
All Reads	ALL	30	80580387	28438644	25	0.95876	0.00018			
All Reads	ALL	31	88162801	31066858	25	0.957288	0.000172			
All Reads	ALL	32	95035528	33574988	25	0.959755	0.000166			
All Reads	ALL	33	101104524	35853629	25	0.96337	0.000161			
All Reads	ALL	34	106384207	37879405	24	0.96729	0.000157			
All Reads	ALL	35	110784297	39806544	24	0.976128	0.000155			
All Reads	ALL	36	114264456	41443835	24	0.985325	0.000153			
All Reads	ALL	37	116112027	42386982	24	0.991713	0.000152			
All Reads	ALL	38	115911645	42619098	24	0.998867	0.000153			
All Reads	ALL	39	113905364	42087123	23	1.003773	0.000155			
All Reads	ALL	40	110368956	41545816	22	1.022612	0.000159			
All Reads	ALL	41	105410594	39727227	22	1.023846	0.000162			
All Reads	ALL	42	99544218	37732834	22	1.029755	0.000168			
All Reads	ALL	43	93498632	34970135	22	1.016068	0.000172			
All Reads	ALL	44	88082154	32432579	23	1.000286	0.000176			
All Reads	ALL	45	83711976	30672551	24	0.995389	0.00018			
All Reads	ALL	46	80341334	29416927	24	0.994693	0.000183			
All Reads	ALL	47	77642362	28491980	24	0.996907	0.000187			
All Reads	ALL	48	74936279	27515382	24	0.997503	0.00019			
All Reads	ALL	49	71643163	26348201	24	0.999095	0.000195			
All Reads	ALL	50	67487064	24876902	24	1.001397	0.000201			
All Reads	ALL	51	62640588	23148972	24	1.003937	0.000209			
All Reads	ALL	52	57626176	21396813	24	1.008695	0.000218			
All Reads	ALL	53	52943343	19758705	24	1.013859	0.000228			
All Reads	ALL	54	48772513	18314617	24	1.020125	0.000238			
All Reads	ALL	55	45092755	17037873	24	1.026453	0.000249			
All Reads	ALL	56	41546483	15779237	24	1.031769	0.00026			
All Reads	ALL	57	37775417	14421422	24	1.037121	0.000273			
All Reads	ALL	58	33620279	12872151	24	1.040113	0.00029			
All Reads	ALL	59	29119333	11186701	24	1.043641	0.000312			
All Reads	ALL	60	24607076	9478081	24	1.046384	0.00034			
All Reads	ALL	61	20442247	7890357	24	1.048573	0.000373			
All Reads	ALL	62	16888056	6527795	23	1.050068	0.000411			
All Reads	ALL	63	13953520	5395346	23	1.050428	0.000452			
All Reads	ALL	64	11533648	4460790	23	1.050693	0.000497			
All Reads	ALL	65	9516463	3683522	23	1.051522	0.000548			
All Reads	ALL	66	7844747	3023527	22	1.047045	0.000602			
All Reads	ALL	67	6376889	2458694	22	1.047433	0.000668			
All Reads	ALL	68	5103178	1974446	22	1.051078	0.000748			
All Reads	ALL	69	4086242	1562265	22	1.038631	0.000831			
All Reads	ALL	70	3279236	1247189	21	1.033214	0.000925			
All Reads	ALL	71	2626766	978157	21	1.011621	0.001023			
All Reads	ALL	72	2126045	780324	21	0.997087	0.001129			
All Reads	ALL	73	1735600	641745	21	1.004485	0.001254			
All Reads	ALL	74	1432212	526120	21	0.997948	0.001376			
All Reads	ALL	75	1205854	450625	20	1.015199	0.001512			
All Reads	ALL	76	1039412	381178	20	0.996255	0.001614			
All Reads	ALL	77	914623	339307	20	1.007816	0.00173			
All Reads	ALL	78	813919	303577	19	1.013254	0.001839			
All Reads	ALL	79	710475	260671	19	0.996723	0.001952			
All Reads	ALL	80	605953	223552	19	1.002236	0.00212			
All Reads	ALL	81	510051	186446	19	0.993048	0.0023			
All Reads	ALL	82	428619	162097	19	1.027387	0.002552			
All Reads	ALL	83	352749	132370	19	1.019423	0.002802			
All Reads	ALL	84	276293	110353	19	1.085038	0.003266			
All Reads	ALL	85	200807	85022	19	1.150226	0.003945			
All Reads	ALL	86	134275	63141	19	1.277459	0.005084			
All Reads	ALL	87	88064	48131	19	1.484763	0.006768			
All Reads	ALL	88	60774	33876	18	1.514275	0.008227			
All Reads	ALL	89	39373	28146	18	1.941998	0.011576			
All Reads	ALL	90	25721	14951	18	1.579112	0.012915			
All Reads	ALL	91	16577	33697	21	5.522248	0.030083			
All Reads	ALL	92	9918	8046	18	2.203873	0.02457			
All Reads	ALL	93	6247	7707	19	3.35154	0.038177			
All Reads	ALL	94	3541	64758	18	49.681887	0.195232			
All Reads	ALL	95	1700	87670	17	140.098237	0.473159			
All Reads	ALL	96	986	42010	16	115.746096	0.564716			
All Reads	ALL	97	658	203540	17	840.33889	1.862643			
All Reads	ALL	98	328	163766	16	1356.37721	3.351727			
All Reads	ALL	99	133	21848	15	446.262745	3.019151			
All Reads	ALL	100	339	49	14	0.392669	0.056096			


