## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_ngi_KMS12BM.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_ngi_KMS12BM.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_ngi/outdir/preprocessing/markduplicates/KMS12BM/KMS12BM.md.cram OUTPUT=picard/aviti_ngi_KMS12BM.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 18:57:51 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	10709	15	0.618203	0.005974			
All Reads	ALL	1	96782	4785	15	0.380657	0.005503			
All Reads	ALL	2	112190	5567	16	0.382044	0.00512			
All Reads	ALL	3	143192	14265	19	0.767008	0.006422			
All Reads	ALL	4	154545	9625	16	0.479504	0.004888			
All Reads	ALL	5	158146	10200	17	0.49658	0.004917			
All Reads	ALL	6	179558	13424	17	0.575604	0.004968			
All Reads	ALL	7	193733	16620	18	0.660502	0.005123			
All Reads	ALL	8	221551	19166	18	0.666047	0.004811			
All Reads	ALL	9	251225	24898	17	0.763042	0.004836			
All Reads	ALL	10	295940	31758	18	0.826221	0.004636			
All Reads	ALL	11	361058	40515	18	0.863944	0.004292			
All Reads	ALL	12	469776	53796	19	0.88167	0.003801			
All Reads	ALL	13	618661	75741	20	0.942595	0.003425			
All Reads	ALL	14	876130	108402	20	0.952611	0.002893			
All Reads	ALL	15	1288160	161963	21	0.968039	0.002405			
All Reads	ALL	16	1927535	247028	21	0.986713	0.001985			
All Reads	ALL	17	2894502	398389	20	1.059694	0.001679			
All Reads	ALL	18	4340874	598278	21	1.06114	0.001372			
All Reads	ALL	19	6411892	904991	20	1.086688	0.001142			
All Reads	ALL	20	9263612	1330725	20	1.105999	0.000959			
All Reads	ALL	21	13029780	1834594	21	1.084051	0.0008			
All Reads	ALL	22	17784214	2375080	22	1.02823	0.000667			
All Reads	ALL	23	23595456	3092628	23	1.009128	0.000574			
All Reads	ALL	24	30440211	3943886	24	0.997524	0.000502			
All Reads	ALL	25	38161832	4830336	25	0.97453	0.000443			
All Reads	ALL	26	46467619	5839984	25	0.967627	0.0004			
All Reads	ALL	27	55146501	6842336	26	0.955286	0.000365			
All Reads	ALL	28	63905454	7906670	26	0.952582	0.000339			
All Reads	ALL	29	72443004	8957493	26	0.952	0.000318			
All Reads	ALL	30	80580387	9944316	26	0.950151	0.000301			
All Reads	ALL	31	88162801	10882884	26	0.950398	0.000288			
All Reads	ALL	32	95035528	11773627	26	0.95383	0.000278			
All Reads	ALL	33	101104524	12600293	26	0.959526	0.00027			
All Reads	ALL	34	106384207	13328153	26	0.964583	0.000264			
All Reads	ALL	35	110784297	14017122	25	0.974154	0.00026			
All Reads	ALL	36	114264456	14620781	25	0.985159	0.000258			
All Reads	ALL	37	116112027	14949216	25	0.991261	0.000256			
All Reads	ALL	38	115911645	15042979	24	0.999203	0.000258			
All Reads	ALL	39	113905364	14846270	24	1.003506	0.00026			
All Reads	ALL	40	110368956	14640619	23	1.021314	0.000267			
All Reads	ALL	41	105410594	13988485	23	1.021723	0.000273			
All Reads	ALL	42	99544218	13268189	22	1.026225	0.000282			
All Reads	ALL	43	93498632	12276629	23	1.010929	0.000289			
All Reads	ALL	44	88082154	11368954	24	0.993755	0.000295			
All Reads	ALL	45	83711976	10755398	24	0.989204	0.000302			
All Reads	ALL	46	80341334	10327335	25	0.989683	0.000308			
All Reads	ALL	47	77642362	10011418	25	0.992759	0.000314			
All Reads	ALL	48	74936279	9697950	24	0.996402	0.00032			
All Reads	ALL	49	71643163	9297682	24	0.999187	0.000328			
All Reads	ALL	50	67487064	8799803	25	1.00392	0.000338			
All Reads	ALL	51	62640588	8186508	25	1.006213	0.000352			
All Reads	ALL	52	57626176	7575041	25	1.012074	0.000368			
All Reads	ALL	53	52943343	6998453	25	1.017742	0.000385			
All Reads	ALL	54	48772513	6506031	25	1.027041	0.000403			
All Reads	ALL	55	45092755	6070226	25	1.036442	0.000421			
All Reads	ALL	56	41546483	5643648	25	1.045858	0.00044			
All Reads	ALL	57	37775417	5179974	24	1.05576	0.000464			
All Reads	ALL	58	33620279	4635545	24	1.061564	0.000493			
All Reads	ALL	59	29119333	4044040	24	1.069254	0.000532			
All Reads	ALL	60	24607076	3432821	24	1.074083	0.00058			
All Reads	ALL	61	20442247	2868277	24	1.080287	0.000638			
All Reads	ALL	62	16888056	2380984	23	1.085485	0.000703			
All Reads	ALL	63	13953520	1981433	23	1.093308	0.000777			
All Reads	ALL	64	11533648	1647644	23	1.099876	0.000857			
All Reads	ALL	65	9516463	1371094	22	1.109273	0.000947			
All Reads	ALL	66	7844747	1136547	22	1.115463	0.001046			
All Reads	ALL	67	6376889	930889	22	1.123921	0.001165			
All Reads	ALL	68	5103178	755304	22	1.139536	0.001311			
All Reads	ALL	69	4086242	601290	21	1.13294	0.001461			
All Reads	ALL	70	3279236	485119	21	1.138997	0.001635			
All Reads	ALL	71	2626766	383713	21	1.124688	0.001816			
All Reads	ALL	72	2126045	309415	21	1.12051	0.002014			
All Reads	ALL	73	1735600	257824	20	1.143722	0.002252			
All Reads	ALL	74	1432212	214131	20	1.151116	0.002488			
All Reads	ALL	75	1205854	185663	20	1.185434	0.002751			
All Reads	ALL	76	1039412	160029	20	1.185381	0.002963			
All Reads	ALL	77	914623	144087	20	1.212913	0.003195			
All Reads	ALL	78	813919	129992	19	1.229652	0.003411			
All Reads	ALL	79	710475	113997	19	1.235354	0.003659			
All Reads	ALL	80	605953	97468	19	1.238426	0.003967			
All Reads	ALL	81	510051	82765	19	1.249338	0.004343			
All Reads	ALL	82	428619	72848	19	1.308558	0.004848			
All Reads	ALL	83	352749	59531	19	1.299344	0.005325			
All Reads	ALL	84	276293	50399	19	1.404426	0.006256			
All Reads	ALL	85	200807	38587	19	1.47948	0.007532			
All Reads	ALL	86	134275	29057	19	1.666105	0.009774			
All Reads	ALL	87	88064	21913	19	1.915801	0.012942			
All Reads	ALL	88	60774	15066	18	1.908653	0.01555			
All Reads	ALL	89	39373	11706	18	2.289058	0.021157			
All Reads	ALL	90	25721	6760	18	2.023512	0.024611			
All Reads	ALL	91	16577	10431	20	4.8447	0.047436			
All Reads	ALL	92	9918	3403	18	2.641707	0.045285			
