## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_hq_OPM2.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_hq_OPM2.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_hq/outdir/preprocessing/markduplicates/OPM2/OPM2.md.cram OUTPUT=picard/aviti_hq_OPM2.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:02:09 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	35182	15	0.733933	0.003913			
All Reads	ALL	1	96782	16181	15	0.46517	0.003657			
All Reads	ALL	2	112190	18824	16	0.466829	0.003403			
All Reads	ALL	3	143192	25259	17	0.490792	0.003088			
All Reads	ALL	4	154545	29568	17	0.532314	0.003096			
All Reads	ALL	5	158146	32130	17	0.565266	0.003154			
All Reads	ALL	6	179558	40589	17	0.628933	0.003122			
All Reads	ALL	7	193733	48351	18	0.694388	0.003158			
All Reads	ALL	8	221551	58406	18	0.733473	0.003035			
All Reads	ALL	9	251225	74403	18	0.824002	0.003021			
All Reads	ALL	10	295940	94998	18	0.893123	0.002898			
All Reads	ALL	11	361058	120976	18	0.932229	0.00268			
All Reads	ALL	12	469776	161293	19	0.955268	0.002379			
All Reads	ALL	13	618661	222049	20	0.998612	0.002119			
All Reads	ALL	14	876130	318284	20	1.010757	0.001792			
All Reads	ALL	15	1288160	471943	21	1.019343	0.001484			
All Reads	ALL	16	1927535	716895	21	1.034794	0.001222			
All Reads	ALL	17	2894502	1114984	21	1.071754	0.001015			
All Reads	ALL	18	4340874	1670326	21	1.070593	0.000828			
All Reads	ALL	19	6411892	2482642	21	1.07728	0.000684			
All Reads	ALL	20	9263612	3609529	21	1.084103	0.000571			
All Reads	ALL	21	13029780	5013353	22	1.070512	0.000478			
All Reads	ALL	22	17784214	6633343	23	1.037763	0.000403			
All Reads	ALL	23	23595456	8697559	23	1.02558	0.000348			
All Reads	ALL	24	30440211	11099661	23	1.014525	0.000305			
All Reads	ALL	25	38161832	13661321	24	0.996011	0.000269			
All Reads	ALL	26	46467619	16503057	24	0.988131	0.000243			
All Reads	ALL	27	55146501	19378604	25	0.977699	0.000222			
All Reads	ALL	28	63905454	22345395	25	0.972861	0.000206			
All Reads	ALL	29	72443004	25269584	25	0.970515	0.000193			
All Reads	ALL	30	80580387	28017037	25	0.967372	0.000183			
All Reads	ALL	31	88162801	30650329	25	0.967276	0.000175			
All Reads	ALL	32	95035528	33208681	24	0.972224	0.000169			
All Reads	ALL	33	101104524	35701663	24	0.982468	0.000164			
All Reads	ALL	34	106384207	37848243	24	0.989849	0.000161			
All Reads	ALL	35	110784297	40015720	24	1.00497	0.000159			
All Reads	ALL	36	114264456	41856532	24	1.019184	0.000158			
All Reads	ALL	37	116112027	42764110	23	1.024714	0.000157			
All Reads	ALL	38	115911645	42792083	23	1.027157	0.000157			
All Reads	ALL	39	113905364	41873237	23	1.022805	0.000158			
All Reads	ALL	40	110368956	40932962	22	1.031874	0.000161			
All Reads	ALL	41	105410594	38772971	22	1.0234	0.000164			
All Reads	ALL	42	99544218	36580688	22	1.022436	0.000169			
All Reads	ALL	43	93498632	33856516	23	1.007482	0.000173			
All Reads	ALL	44	88082154	31398652	23	0.991799	0.000177			
All Reads	ALL	45	83711976	29679602	24	0.986441	0.000181			
All Reads	ALL	46	80341334	28456529	24	0.98547	0.000185			
All Reads	ALL	47	77642362	27519846	24	0.986161	0.000188			
All Reads	ALL	48	74936279	26570161	24	0.986512	0.000191			
All Reads	ALL	49	71643163	25408461	24	0.986743	0.000196			
All Reads	ALL	50	67487064	23933175	24	0.986689	0.000202			
All Reads	ALL	51	62640588	22240439	24	0.987843	0.000209			
All Reads	ALL	52	57626176	20503550	24	0.989942	0.000219			
All Reads	ALL	53	52943343	18901998	24	0.993338	0.000228			
All Reads	ALL	54	48772513	17506043	24	0.99865	0.000239			
All Reads	ALL	55	45092755	16256441	24	1.003042	0.000249			
All Reads	ALL	56	41546483	15023012	24	1.006059	0.00026			
All Reads	ALL	57	37775417	13706990	24	1.009563	0.000273			
All Reads	ALL	58	33620279	12198404	24	1.00949	0.000289			
All Reads	ALL	59	29119333	10567569	24	1.009704	0.000311			
All Reads	ALL	60	24607076	8913756	24	1.007862	0.000338			
All Reads	ALL	61	20442247	7382256	23	1.004757	0.00037			
All Reads	ALL	62	16888056	6085491	23	1.002574	0.000406			
All Reads	ALL	63	13953520	5011316	23	0.999237	0.000446			
All Reads	ALL	64	11533648	4127323	23	0.99564	0.00049			
All Reads	ALL	65	9516463	3407030	22	0.996095	0.00054			
All Reads	ALL	66	7844747	2787765	22	0.98873	0.000592			
All Reads	ALL	67	6376889	2254938	22	0.983844	0.000655			
All Reads	ALL	68	5103178	1803498	21	0.983276	0.000732			
All Reads	ALL	69	4086242	1435106	21	0.977148	0.000816			
All Reads	ALL	70	3279236	1143497	21	0.970204	0.000907			
All Reads	ALL	71	2626766	894999	21	0.947985	0.001002			
All Reads	ALL	72	2126045	718806	20	0.940675	0.00111			
All Reads	ALL	73	1735600	584124	20	0.936388	0.001225			
All Reads	ALL	74	1432212	472702	20	0.918292	0.001336			
All Reads	ALL	75	1205854	401632	20	0.926689	0.001462			
All Reads	ALL	76	1039412	335992	20	0.899377	0.001552			
All Reads	ALL	77	914623	294807	20	0.896801	0.001652			
All Reads	ALL	78	813919	263645	19	0.901237	0.001755			
All Reads	ALL	79	710475	228134	19	0.893391	0.00187			
All Reads	ALL	80	605953	191349	19	0.878593	0.002009			
All Reads	ALL	81	510051	156350	19	0.852874	0.002157			
All Reads	ALL	82	428619	129511	19	0.84069	0.002336			
All Reads	ALL	83	352749	105619	19	0.833061	0.002563			
All Reads	ALL	84	276293	85996	19	0.865982	0.002953			
All Reads	ALL	85	200807	64466	19	0.893208	0.003518			
All Reads	ALL	86	134275	43497	19	0.90129	0.004322			
All Reads	ALL	87	88064	31428	19	0.99293	0.005601			
All Reads	ALL	88	60774	22038	19	1.008916	0.006796			
All Reads	ALL	89	39373	18065	19	1.276556	0.009498			
All Reads	ALL	90	25721	9638	18	1.042556	0.01062			
All Reads	ALL	91	16577	26929	21	4.519754	0.027543			
All Reads	ALL	92	9918	5051	19	1.416948	0.019937			
All Reads	ALL	93	6247	5264	19	2.344471	0.032314			
All Reads	ALL	94	3541	58507	18	45.970836	0.190055			
All Reads	ALL	95	1700	80578	17	131.876696	0.464579			
All Reads	ALL	96	986	38186	16	107.752598	0.551411			
All Reads	ALL	97	658	186973	17	790.593972	1.82837			
All Reads	ALL	98	328	148402	16	1258.828035	3.267733			
All Reads	ALL	99	133	19665	15	411.379651	2.933566			
All Reads	ALL	100	339	16	14	0.131317	0.032829			


