## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_ngi_OPM2.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_ngi_OPM2.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_ngi/outdir/preprocessing/markduplicates/OPM2/OPM2.md.cram OUTPUT=picard/aviti_ngi_OPM2.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 18:19:15 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	11675	15	0.594422	0.005501			
All Reads	ALL	1	96782	5177	15	0.363234	0.005048			
All Reads	ALL	2	112190	6158	16	0.372725	0.00475			
All Reads	ALL	3	143192	15814	19	0.749938	0.005964			
All Reads	ALL	4	154545	10372	17	0.455733	0.004475			
All Reads	ALL	5	158146	11294	17	0.484945	0.004563			
All Reads	ALL	6	179558	14703	17	0.556037	0.004586			
All Reads	ALL	7	193733	17720	18	0.621102	0.004666			
All Reads	ALL	8	221551	21401	18	0.655938	0.004484			
All Reads	ALL	9	251225	27208	18	0.735422	0.004458			
All Reads	ALL	10	295940	35368	18	0.811539	0.004315			
All Reads	ALL	11	361058	45055	18	0.847361	0.003992			
All Reads	ALL	12	469776	60764	19	0.878331	0.003563			
All Reads	ALL	13	618661	85152	20	0.934641	0.003203			
All Reads	ALL	14	876130	122801	20	0.951779	0.002716			
All Reads	ALL	15	1288160	183071	21	0.965056	0.002255			
All Reads	ALL	16	1927535	280522	22	0.988251	0.001866			
All Reads	ALL	17	2894502	440577	21	1.033595	0.001557			
All Reads	ALL	18	4340874	661433	22	1.034692	0.001272			
All Reads	ALL	19	6411892	987202	22	1.045496	0.001052			
All Reads	ALL	20	9263612	1438044	22	1.054131	0.000879			
All Reads	ALL	21	13029780	1999367	22	1.041977	0.000737			
All Reads	ALL	22	17784214	2651966	23	1.012595	0.000622			
All Reads	ALL	23	23595456	3477435	24	1.000768	0.000537			
