## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/xplus_sns_MM1S.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/xplus_sns_MM1S.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/xplus_sns/outdir/preprocessing/markduplicates/MM1S/MM1S.md.cram OUTPUT=picard/xplus_sns_MM1S.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:27:41 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	29579	17	0.47268	0.002748			
All Reads	ALL	1	96782	12242	15	0.269591	0.002437			
All Reads	ALL	2	112190	15906	16	0.302172	0.002396			
All Reads	ALL	3	143192	24164	17	0.359665	0.002314			
All Reads	ALL	4	154545	32581	17	0.449322	0.002489			
All Reads	ALL	5	158146	38112	17	0.513631	0.002631			
All Reads	ALL	6	179558	53698	17	0.637384	0.002751			
All Reads	ALL	7	193733	62976	17	0.692819	0.002761			
All Reads	ALL	8	221551	75478	17	0.726097	0.002643			
All Reads	ALL	9	251225	98130	17	0.832505	0.002658			
All Reads	ALL	10	295940	126062	17	0.90788	0.002557			
All Reads	ALL	11	361058	162039	18	0.956512	0.002376			
All Reads	ALL	12	469776	216775	18	0.983482	0.002112			
All Reads	ALL	13	618661	298583	19	1.028633	0.001882			
All Reads	ALL	14	876130	430287	20	1.046737	0.001596			
All Reads	ALL	15	1288160	643915	20	1.065385	0.001328			
All Reads	ALL	16	1927535	1004233	20	1.110402	0.001108			
All Reads	ALL	17	2894502	1667523	19	1.227852	0.000951			
All Reads	ALL	18	4340874	2469648	19	1.212567	0.000772			
All Reads	ALL	19	6411892	3669014	19	1.219582	0.000637			
All Reads	ALL	20	9263612	5459412	19	1.256069	0.000538			
All Reads	ALL	21	13029780	7399166	20	1.210302	0.000445			
All Reads	ALL	22	17784214	9540217	21	1.14333	0.00037			
All Reads	ALL	23	23595456	12263788	22	1.107756	0.000316			
All Reads	ALL	24	30440211	15515671	22	1.086353	0.000276			
All Reads	ALL	25	38161832	18839384	23	1.052169	0.000242			
All Reads	ALL	26	46467619	22726602	23	1.042394	0.000219			
All Reads	ALL	27	55146501	26410768	24	1.02073	0.000199			
All Reads	ALL	28	63905454	30410595	24	1.014227	0.000184			
All Reads	ALL	29	72443004	34355283	24	1.010753	0.000172			
All Reads	ALL	30	80580387	38016953	24	1.005532	0.000163			
All Reads	ALL	31	88162801	41480961	24	1.002793	0.000156			
All Reads	ALL	32	95035528	44873069	24	1.006347	0.00015			
All Reads	ALL	33	101104524	48160389	24	1.015237	0.000146			
All Reads	ALL	34	106384207	50841028	24	1.018557	0.000143			
All Reads	ALL	35	110784297	53562214	23	1.030453	0.000141			
All Reads	ALL	36	114264456	55856526	23	1.041863	0.000139			
All Reads	ALL	37	116112027	56858111	23	1.04367	0.000138			
All Reads	ALL	38	115911645	56697521	23	1.042521	0.000138			
All Reads	ALL	39	113905364	55279242	22	1.034346	0.000139			
All Reads	ALL	40	110368956	53971889	22	1.042242	0.000142			
All Reads	ALL	41	105410594	50768446	22	1.026497	0.000144			
All Reads	ALL	42	99544218	47632658	21	1.019851	0.000148			
All Reads	ALL	43	93498632	43684053	22	0.995785	0.000151			
All Reads	ALL	44	88082154	40170620	23	0.972005	0.000153			
All Reads	ALL	45	83711976	37718668	23	0.960322	0.000156			
All Reads	ALL	46	80341334	35958761	23	0.953924	0.000159			
All Reads	ALL	47	77642362	34550926	23	0.948438	0.000161			
All Reads	ALL	48	74936279	33156689	23	0.943033	0.000164			
All Reads	ALL	49	71643163	31546720	23	0.938485	0.000167			
All Reads	ALL	50	67487064	29612825	23	0.935206	0.000172			
All Reads	ALL	51	62640588	27402228	23	0.932348	0.000178			
All Reads	ALL	52	57626176	25177203	24	0.931184	0.000186			
All Reads	ALL	53	52943343	23150466	24	0.931958	0.000194			
All Reads	ALL	54	48772513	21391716	24	0.9348	0.000202			
All Reads	ALL	55	45092755	19820982	24	0.936842	0.00021			
All Reads	ALL	56	41546483	18309545	24	0.939272	0.00022			
All Reads	ALL	57	37775417	16660362	23	0.93999	0.00023			
All Reads	ALL	58	33620279	14795940	23	0.937971	0.000244			
All Reads	ALL	59	29119333	12760400	23	0.933966	0.000261			
All Reads	ALL	60	24607076	10703095	23	0.927038	0.000283			
All Reads	ALL	61	20442247	8819593	23	0.919534	0.00031			
All Reads	ALL	62	16888056	7225666	23	0.911898	0.000339			
All Reads	ALL	63	13953520	5899571	23	0.901124	0.000371			
All Reads	ALL	64	11533648	4827439	23	0.892068	0.000406			
All Reads	ALL	65	9516463	3950759	22	0.884816	0.000445			
All Reads	ALL	66	7844747	3198687	22	0.869042	0.000486			
All Reads	ALL	67	6376889	2554917	22	0.853918	0.000534			
All Reads	ALL	68	5103178	2011535	22	0.840108	0.000592			
All Reads	ALL	69	4086242	1575703	21	0.821861	0.000655			
All Reads	ALL	70	3279236	1229153	21	0.79888	0.000721			
All Reads	ALL	71	2626766	948678	21	0.769742	0.00079			
All Reads	ALL	72	2126045	750758	20	0.75262	0.000869			
All Reads	ALL	73	1735600	601105	20	0.738157	0.000952			
All Reads	ALL	74	1432212	481916	20	0.717153	0.001033			
All Reads	ALL	75	1205854	408226	20	0.721529	0.001129			
All Reads	ALL	76	1039412	336549	20	0.690095	0.00119			
All Reads	ALL	77	914623	291561	19	0.679415	0.001258			
All Reads	ALL	78	813919	257046	19	0.673097	0.001328			
All Reads	ALL	79	710475	216283	18	0.648816	0.001395			
All Reads	ALL	80	605953	181558	18	0.638593	0.001499			
All Reads	ALL	81	510051	146277	19	0.611238	0.001598			
All Reads	ALL	82	428619	123519	19	0.614201	0.001748			
All Reads	ALL	83	352749	98858	18	0.597302	0.0019			
All Reads	ALL	84	276293	82887	18	0.639388	0.002221			
All Reads	ALL	85	200807	56429	18	0.598924	0.002521			
All Reads	ALL	86	134275	40372	18	0.640816	0.003189			
All Reads	ALL	87	88064	27953	18	0.676516	0.004046			
All Reads	ALL	88	60774	18089	17	0.634373	0.004717			
All Reads	ALL	89	39373	12722	17	0.68866	0.006106			
All Reads	ALL	90	25721	7554	17	0.625946	0.007202			
All Reads	ALL	91	16577	7589	17	0.975723	0.0112			
All Reads	ALL	92	9918	3174	16	0.682073	0.012107			
All Reads	ALL	93	6247	2290	16	0.781289	0.016327			
All Reads	ALL	94	3541	71881	17	43.264948	0.161372			
All Reads	ALL	95	1700	695856	18	872.405636	1.045824			
All Reads	ALL	96	986	217879	16	470.962649	1.008971			
All Reads	ALL	97	658	3381016	16	10951.392384	5.955877			
All Reads	ALL	98	328	1092645	17	7099.916587	6.792251			
All Reads	ALL	99	133	332560	18	5329.253487	9.241264			
All Reads	ALL	100	339	19	15	0.119454	0.027405			


