## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_hq_REH.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_hq_REH.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_hq/outdir/preprocessing/markduplicates/REH/REH.md.cram OUTPUT=picard/aviti_hq_REH.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:02:09 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	34617	15	0.800098	0.0043			
All Reads	ALL	1	96782	15081	15	0.480346	0.003911			
All Reads	ALL	2	112190	17539	16	0.481913	0.003639			
All Reads	ALL	3	143192	23155	17	0.498476	0.003276			
All Reads	ALL	4	154545	26662	16	0.531809	0.003257			
All Reads	ALL	5	158146	29716	17	0.579229	0.00336			
All Reads	ALL	6	179558	37408	17	0.642211	0.00332			
All Reads	ALL	7	193733	46059	17	0.732874	0.003415			
All Reads	ALL	8	221551	56733	16	0.789369	0.003314			
All Reads	ALL	9	251225	73604	16	0.903144	0.003329			
All Reads	ALL	10	295940	91905	16	0.957313	0.003158			
All Reads	ALL	11	361058	114680	17	0.979104	0.002891			
All Reads	ALL	12	469776	147931	18	0.970704	0.002524			
All Reads	ALL	13	618661	199956	19	0.996323	0.002228			
All Reads	ALL	14	876130	287083	19	1.010083	0.001885			
All Reads	ALL	15	1288160	425267	20	1.017677	0.001561			
All Reads	ALL	16	1927535	656060	21	1.049203	0.001295			
All Reads	ALL	17	2894502	1064982	20	1.134192	0.001099			
All Reads	ALL	18	4340874	1600973	20	1.136907	0.000899			
All Reads	ALL	19	6411892	2401681	20	1.154642	0.000745			
All Reads	ALL	20	9263612	3553356	20	1.182433	0.000627			
All Reads	ALL	21	13029780	4882736	20	1.155166	0.000523			
All Reads	ALL	22	17784214	6292726	21	1.090743	0.000435			
All Reads	ALL	23	23595456	8121529	22	1.06103	0.000372			
All Reads	ALL	24	30440211	10278520	22	1.040881	0.000325			
All Reads	ALL	25	38161832	12490566	23	1.008954	0.000285			
All Reads	ALL	26	46467619	15044763	24	0.998052	0.000257			
All Reads	ALL	27	55146501	17524309	24	0.979583	0.000234			
All Reads	ALL	28	63905454	20184381	24	0.973634	0.000217			
All Reads	ALL	29	72443004	22783546	24	0.96949	0.000203			
All Reads	ALL	30	80580387	25256934	24	0.966206	0.000192			
All Reads	ALL	31	88162801	27595379	24	0.964871	0.000184			
All Reads	ALL	32	95035528	29858634	24	0.968506	0.000177			
All Reads	ALL	33	101104524	31988552	24	0.975309	0.000172			
All Reads	ALL	34	106384207	33908067	24	0.982526	0.000169			
All Reads	ALL	35	110784297	35671392	23	0.992568	0.000166			
All Reads	ALL	36	114264456	37119945	23	1.001416	0.000164			
All Reads	ALL	37	116112027	37866137	23	1.005292	0.000163			
All Reads	ALL	38	115911645	37955127	23	1.009396	0.000164			
All Reads	ALL	39	113905364	37324292	23	1.010103	0.000165			
All Reads	ALL	40	110368956	36675143	22	1.024338	0.000169			
All Reads	ALL	41	105410594	34893915	22	1.020431	0.000173			
All Reads	ALL	42	99544218	33012880	22	1.022317	0.000178			
All Reads	ALL	43	93498632	30555420	22	1.007398	0.000182			
All Reads	ALL	44	88082154	28315467	23	0.990955	0.000186			
All Reads	ALL	45	83711976	26763192	23	0.985527	0.000191			
All Reads	ALL	46	80341334	25669831	23	0.984923	0.000194			
All Reads	ALL	47	77642362	24841396	23	0.986269	0.000198			
All Reads	ALL	48	74936279	23974514	23	0.986225	0.000201			
All Reads	ALL	49	71643163	22936033	23	0.986874	0.000206			
All Reads	ALL	50	67487064	21633883	23	0.988171	0.000212			
All Reads	ALL	51	62640588	20105922	23	0.989433	0.000221			
All Reads	ALL	52	57626176	18525885	24	0.991009	0.00023			
All Reads	ALL	53	52943343	17077179	24	0.994313	0.000241			
All Reads	ALL	54	48772513	15824398	24	1.000162	0.000251			
All Reads	ALL	55	45092755	14706750	24	1.005375	0.000262			
All Reads	ALL	56	41546483	13622586	24	1.01075	0.000274			
All Reads	ALL	57	37775417	12451124	24	1.016056	0.000288			
All Reads	ALL	58	33620279	11114090	23	1.019039	0.000306			
All Reads	ALL	59	29119333	9652599	23	1.021836	0.000329			
All Reads	ALL	60	24607076	8176997	23	1.024359	0.000358			
All Reads	ALL	61	20442247	6793693	23	1.024461	0.000393			
