## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/xplus_sns_OPM2.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/xplus_sns_OPM2.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/xplus_sns/outdir/preprocessing/markduplicates/OPM2/OPM2.md.cram OUTPUT=picard/xplus_sns_OPM2.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:25:34 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	33441	16	0.467133	0.002554			
All Reads	ALL	1	96782	13380	16	0.257565	0.002227			
All Reads	ALL	2	112190	17913	16	0.297468	0.002223			
All Reads	ALL	3	143192	27699	17	0.360388	0.002165			
All Reads	ALL	4	154545	37227	17	0.448775	0.002326			
All Reads	ALL	5	158146	43039	17	0.507025	0.002444			
All Reads	ALL	6	179558	59918	17	0.621696	0.00254			
All Reads	ALL	7	193733	69045	18	0.663979	0.002527			
All Reads	ALL	8	221551	83861	18	0.705199	0.002435			
All Reads	ALL	9	251225	110536	18	0.819722	0.002466			
All Reads	ALL	10	295940	142298	18	0.89582	0.002375			
All Reads	ALL	11	361058	182796	18	0.943225	0.002206			
All Reads	ALL	12	469776	244196	19	0.968441	0.00196			
All Reads	ALL	13	618661	339380	20	1.022019	0.001754			
All Reads	ALL	14	876130	485886	20	1.033217	0.001482			
All Reads	ALL	15	1288160	723712	21	1.046698	0.00123			
All Reads	ALL	16	1927535	1105176	21	1.068205	0.001016			
All Reads	ALL	17	2894502	1733484	20	1.115762	0.000847			
All Reads	ALL	18	4340874	2603502	21	1.117394	0.000693			
All Reads	ALL	19	6411892	3876558	21	1.126382	0.000572			
All Reads	ALL	20	9263612	5646063	21	1.13551	0.000478			
All Reads	ALL	21	13029780	7814026	21	1.117283	0.0004			
All Reads	ALL	22	17784214	10301650	22	1.079189	0.000336			
All Reads	ALL	23	23595456	13467898	23	1.063401	0.00029			
