# plot_type: 'table'
# section_name: 'VCF Filter counts'
# description: 'Counts of VCF filters in the DeepVariant output VCFs'
run	cell	cov	PASS	RefCall
aviti_hq	KMS12BM	10	4169071	858570
aviti_hq	KMS12BM	15	4297807	1136544
aviti_hq	KMS12BM	20	4332588	1259288
aviti_hq	KMS12BM	25	4345154	1328261
aviti_hq	KMS12BM	30	4351410	1370325
aviti_hq	KMS12BM	40	4356924	1418696
aviti_hq	KMS12BM	50	4360093	1448384
aviti_hq	MM1S	10	5165192	899418
aviti_hq	MM1S	15	5349270	1235511
aviti_hq	MM1S	20	5393444	1352286
aviti_hq	MM1S	25	5409292	1412885
aviti_hq	MM1S	30	5416853	1460294
aviti_hq	MM1S	40	5424454	1516685
aviti_hq	OPM2	10	4267669	876141
aviti_hq	OPM2	15	4439831	1192466
aviti_hq	OPM2	20	4493103	1310451
aviti_hq	OPM2	25	4513012	1362630
aviti_hq	OPM2	30	4521839	1396631
aviti_hq	OPM2	40	4526492	1445973
aviti_hq	OPM2	50	4528813	1479368
aviti_hq	REH	10	5036516	970743
aviti_hq	REH	15	5241725	1377384
aviti_hq	REH	20	5280147	1523089
aviti_hq	REH	25	5282772	1603212
aviti_hq	REH	30	5276661	1669867
aviti_hq	REH	40	5260605	1767237
aviti_ngi	KMS12BM	10	4179320	665810
aviti_ngi	KMS12BM	15	4300841	892865
aviti_ngi	MM1S	10	5181777	691806
aviti_ngi	MM1S	15	5353833	951178
aviti_ngi	OPM2	10	4281308	658862
aviti_ngi	OPM2	15	4445714	899180
aviti_ngi	OPM2	20	4494550	1031624
aviti_ngi	REH	10	5065955	761030
aviti_ngi	REH	15	5253546	1080553
xplus_sns	KMS12BM	10	4148520	2475856
xplus_sns	KMS12BM	15	4277224	3099428
xplus_sns	KMS12BM	20	4312228	3142895
xplus_sns	KMS12BM	25	4325489	3054924
xplus_sns	KMS12BM	30	4331706	2919540
xplus_sns	KMS12BM	40	4337040	2682539
xplus_sns	KMS12BM	50	4339903	2548764
xplus_sns	MM1S	10	5138269	2592537
xplus_sns	MM1S	15	5324783	3387553
xplus_sns	MM1S	20	5369092	3290432
xplus_sns	MM1S	25	5384597	3146424
xplus_sns	MM1S	30	5392877	3001301
xplus_sns	MM1S	40	5401369	2737534
xplus_sns	MM1S	50	5405273	2602024
xplus_sns	OPM2	10	4243829	2474389
xplus_sns	OPM2	15	4416260	3236391
xplus_sns	OPM2	20	4468291	3235432
xplus_sns	OPM2	25	4487657	3079489
xplus_sns	OPM2	30	4496016	2924102
xplus_sns	OPM2	40	4501251	2695235
xplus_sns	OPM2	50	4502939	2566481
xplus_sns	REH	10	5005392	2480074
xplus_sns	REH	15	5212714	3277303
xplus_sns	REH	20	5252303	3116103
xplus_sns	REH	25	5257125	2934226
xplus_sns	REH	30	5253055	2789884
xplus_sns	REH	40	5240432	2566512
