patient,sample,lane,fastq_1,fastq_2
MM1S,MM1S,L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_1/FU-199-MM1-S-5mil-DE090-3A1A_S8_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_1/FU-199-MM1-S-5mil-DE090-3A1A_S8_L002_R2_001.fastq.gz
MM1S,MM1S,L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_1/FU-199-MM1-S-5mil-DE090-3A1A_S8_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_1/FU-199-MM1-S-5mil-DE090-3A1A_S8_L001_R2_001.fastq.gz
MM1S,MM1S,L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_2/FU-199-MM1-S-5mil-DE090-3A1A_S9_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_2/FU-199-MM1-S-5mil-DE090-3A1A_S9_L001_R2_001.fastq.gz
MM1S,MM1S,L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_2/FU-199-MM1-S-5mil-DE090-3A1A_S9_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A_2/FU-199-MM1-S-5mil-DE090-3A1A_S9_L002_R2_001.fastq.gz
OPM2,OPM2,L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_2/FU-199-5mil-OPM2-DE090-1A1A_S3_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_2/FU-199-5mil-OPM2-DE090-1A1A_S3_L002_R2_001.fastq.gz
OPM2,OPM2,L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_2/FU-199-5mil-OPM2-DE090-1A1A_S3_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_2/FU-199-5mil-OPM2-DE090-1A1A_S3_L001_R2_001.fastq.gz
KMS12BM,KMS12BM,L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_2/FU-199-KMS-812-5mil-DE090-2A1A_S6_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_2/FU-199-KMS-812-5mil-DE090-2A1A_S6_L001_R2_001.fastq.gz
KMS12BM,KMS12BM,L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_2/FU-199-KMS-812-5mil-DE090-2A1A_S6_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_2/FU-199-KMS-812-5mil-DE090-2A1A_S6_L002_R2_001.fastq.gz
KMS12BM,KMS12BM,L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_1/FU-199-KMS-812-5mil-DE090-2A1A_S5_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_1/FU-199-KMS-812-5mil-DE090-2A1A_S5_L001_R2_001.fastq.gz
KMS12BM,KMS12BM,L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_1/FU-199-KMS-812-5mil-DE090-2A1A_S5_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A_1/FU-199-KMS-812-5mil-DE090-2A1A_S5_L002_R2_001.fastq.gz
