# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	163179b9	0e0733b8	5e632db7
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	29383	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	29383
SN	is sorted:	1
SN	1st fragments:	29383
SN	last fragments:	0
SN	reads mapped:	29383
SN	reads mapped and paired:	29383	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	29383	# proper-pair bit set
SN	reads paired:	29383	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	18
SN	total length:	4407318	# ignores clipping
SN	total first fragment length:	4407318	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	4407318	# ignores clipping
SN	bases mapped (cigar):	4403995	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	11770	# from NM fields
SN	error rate:	2.672573e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	41.6
SN	insert size average:	937.4
SN	insert size standard deviation:	26.7
SN	inward oriented pairs:	14665
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	5	4	9	6	1	9	16	2	5	11	6	5	67	10	26	36	37	235	23	59	120	69	551	13	191	62	14	1442	178	18	142	2649	244	3683	4912	13061	1462	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	1	2	2	3	4	4	1	5	1	1	11	7	2	9	18	10	22	86	13	23	25	20	24	3	236	81	2	109	57	730	80	26	390	581	44	1023	1406	181	2172	4178	14573	3217	0	0	0	0
FFQ	3	0	0	0	1	3	0	2	2	1	1	3	4	1	3	8	6	11	22	10	17	75	14	27	30	17	43	4	170	79	2	97	54	646	74	37	386	538	27	916	1430	207	2278	4257	14722	3158	0	0	0	0
FFQ	4	0	0	2	1	2	0	1	1	1	2	8	1	1	15	14	1	6	25	7	17	82	11	15	32	19	44	9	250	76	2	86	50	715	73	24	375	496	49	920	1419	190	2081	4081	15000	3179	0	0	0	0
FFQ	5	0	0	0	3	2	1	3	3	3	1	2	4	2	8	6	6	9	18	5	19	72	12	26	36	14	41	2	236	92	0	95	59	669	83	31	430	515	29	997	1476	185	2175	4197	14638	3178	0	0	0	0
FFQ	6	0	0	3	6	1	1	5	0	2	4	8	6	3	18	10	4	13	27	7	18	118	11	20	32	17	35	6	286	92	0	94	50	780	80	23	418	535	22	1072	1445	191	2167	4248	14350	3155	0	0	0	0
FFQ	7	0	0	8	43	26	13	34	22	15	11	31	15	1	85	47	11	7	79	22	23	267	16	21	37	28	58	4	469	102	3	97	54	1018	65	37	473	492	36	1083	1363	192	1919	3753	13543	3760	0	0	0	0
FFQ	8	0	0	0	0	6	1	6	7	2	1	2	6	5	14	7	3	11	36	13	20	94	13	19	30	18	44	1	244	89	0	113	56	768	86	26	382	553	48	937	1416	192	2197	4111	14616	3190	0	0	0	0
FFQ	9	0	0	1	10	7	7	1	11	3	9	4	8	6	15	12	16	12	45	38	70	70	70	58	53	89	70	233	50	205	153	81	118	655	5	235	782	218	709	238	1090	700	1259	1212	2822	1029	4613	10644	1647	0
FFQ	10	0	0	2	5	3	12	5	6	4	6	7	6	9	17	11	19	15	46	21	69	87	43	53	33	101	76	219	42	172	162	94	119	606	8	248	761	219	736	227	1059	714	1346	1199	2903	968	4664	10583	1678	0
