# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	7e3617e0	46c5382b	1ed3b490
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	3755169	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	3755169
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	3755169
SN	reads mapped:	3755169
SN	reads mapped and paired:	3755169	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	3755169	# proper-pair bit set
SN	reads paired:	3755169	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	198
SN	total length:	563260203	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	563260203	# ignores clipping
SN	bases mapped:	563260203	# ignores clipping
SN	bases mapped (cigar):	562424197	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	1244428	# from NM fields
SN	error rate:	2.212615e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	42.7
SN	insert size average:	349.3
SN	insert size standard deviation:	28.1
SN	inward oriented pairs:	1877561
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	5	370	489	387	472	435	568	675	696	1019	709	839	713	1453	1012	2379	984	2099	3275	2017	3258	2382	3841	3288	2861	8563	3761	14219	7044	10376	12236	18352	39488	73164	3415595	116145	0	0	0	0	0	0	0	0	0	0
LFQ	2	0	0	0	237	362	436	260	425	513	519	498	837	714	704	890	1025	1349	1617	1426	1489	2104	2695	1215	2826	3646	2630	4274	6341	3844	5218	5964	7311	13610	7661	19284	16117	51369	68526	3517233	0	0	0	0	0	0	0	0	0
LFQ	3	0	0	0	252	332	447	273	429	565	476	503	809	718	673	884	1050	1381	1656	1358	1437	2010	2648	1126	2953	3632	2675	4038	6205	3659	5178	5568	6837	13317	7470	18856	15908	49757	60266	3529823	0	0	0	0	0	0	0	0	0
LFQ	4	0	0	0	236	316	459	255	425	547	481	481	789	673	625	814	974	1332	1510	1379	1379	1937	2550	1107	2844	3550	2582	4010	6059	3557	5065	5284	6744	12762	6895	18246	15207	48467	57161	3538467	0	0	0	0	0	0	0	0	0
LFQ	5	9	0	0	252	320	400	263	400	526	456	443	788	723	665	798	972	1305	1518	1353	1325	1915	2599	1028	2761	3559	2433	4147	5882	3405	5072	5258	6589	12761	6879	17765	15758	48250	56458	3540134	0	0	0	0	0	0	0	0	0
LFQ	6	95	0	0	267	317	427	249	428	537	434	420	767	666	674	839	983	1243	1491	1257	1372	1948	2485	1073	2708	3393	2623	4051	5993	3392	4983	5101	6582	12845	6856	17835	15408	49010	56665	3539752	0	0	0	0	0	0	0	0	0
LFQ	7	0	0	0	227	291	395	239	407	513	453	419	769	677	631	810	937	1280	1479	1228	1367	1935	2522	1092	2712	3507	2481	4103	5828	3398	5062	5227	6556	12973	7029	17761	15487	48705	56571	3540098	0	0	0	0	0	0	0	0	0
LFQ	8	85	0	0	245	305	419	283	415	561	439	455	812	681	646	826	990	1303	1622	1298	1321	1950	2554	1092	2639	3604	2555	4126	5684	3430	5156	5269	6455	13011	6987	17694	16017	48457	56707	3539076	0	0	0	0	0	0	0	0	0
LFQ	9	1762	0	1	226	352	363	366	402	455	453	641	565	717	874	846	1500	1129	1411	1702	1555	2157	1870	1931	3049	2702	2710	2763	6639	4085	7026	3691	9616	5021	12209	10160	13039	13365	24160	25656	75573	262113	3250314	0	0	0	0	0	0
LFQ	10	1	0	3	234	354	324	435	391	486	449	648	576	718	855	808	1403	1160	1322	1675	1679	2235	1858	1901	3142	2699	2646	2730	6624	4167	7222	3449	9783	4934	12493	9990	13357	13578	23603	25513	75240	261008	3253476	0	0	0	0	0	0
