# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	1ecb67af	2ff7ee93	954b7fd3
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	3757775	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	3757775
SN	is sorted:	1
SN	1st fragments:	3757775
SN	last fragments:	0
SN	reads mapped:	3757775
SN	reads mapped and paired:	3757775	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	3757775	# proper-pair bit set
SN	reads paired:	3757775	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	334
SN	total length:	563649317	# ignores clipping
SN	total first fragment length:	563649317	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	563649317	# ignores clipping
SN	bases mapped (cigar):	563126982	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	1082748	# from NM fields
SN	error rate:	1.922742e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	45.9
SN	insert size average:	349.3
SN	insert size standard deviation:	28.1
SN	inward oriented pairs:	1878869
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	8	0	201	222	409	212	192	322	467	145	261	389	253	336	1221	637	832	979	1232	3106	1078	1584	2195	1861	6256	1496	3918	2825	1707	15503	4660	1829	8545	28464	8289	42341	76432	578311	2959057	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	105	109	100	143	78	130	127	153	139	167	184	407	314	550	458	750	893	1268	694	1018	1110	909	2027	314	4707	2397	905	4447	3497	8785	6145	1021	7324	15414	5152	18360	25024	27149	58815	97228	399575	3059683	0	0	0	0
FFQ	3	2	0	1	57	91	78	113	80	102	113	141	116	132	161	364	271	540	474	678	778	1292	656	1025	1121	836	1831	266	4397	2292	785	4048	3205	8653	5556	967	6700	14455	4529	16710	23205	23091	52863	88878	378404	3107718	0	0	0	0
FFQ	4	3	0	0	93	102	83	119	87	109	104	137	115	124	153	385	268	496	460	683	760	1235	652	929	1016	850	1736	257	4324	2171	813	3943	3170	8742	5426	986	7063	14073	4441	16922	22943	22164	51411	86030	370931	3121266	0	0	0	0
FFQ	5	0	0	0	73	94	86	122	80	96	121	149	117	158	177	364	290	523	444	714	829	1237	648	1007	1089	876	1854	302	4575	2248	867	4093	3435	9007	5869	983	7112	14943	4817	17759	23848	24465	54287	90358	379606	3098053	0	0	0	0
FFQ	6	1	0	2	112	170	127	159	132	140	127	200	122	159	249	386	307	599	569	713	832	1573	614	1010	1135	806	1900	248	5009	2333	757	4047	3197	9544	5303	988	7188	14342	4483	17404	23462	21741	51604	86186	374824	3112971	0	0	0	0
FFQ	7	3	0	80	740	673	534	891	593	588	390	793	512	356	1388	1241	592	1098	1427	1187	1383	3947	1076	1660	1766	1096	2702	374	8472	3287	877	5345	3773	14462	6075	1120	9039	17345	4659	20496	26985	22082	55131	91788	394965	3044784	0	0	0	0
FFQ	8	6	0	1	146	160	124	214	123	192	148	192	167	172	292	514	360	652	562	772	930	1500	701	1106	1216	828	2056	335	4890	2443	834	4403	3272	9323	5711	999	7196	14987	4649	17840	23752	23080	52752	87501	375335	3105339	0	0	0	0
FFQ	9	1	0	13	227	275	276	274	261	295	293	288	422	336	532	728	755	761	1374	1034	1763	1690	1451	2083	1541	2679	2734	3427	3040	4383	4303	4201	4070	10570	3156	8619	14403	8599	7524	16521	17005	21574	28920	35999	45963	59219	150611	526218	2757364	0
FFQ	10	3	0	6	170	234	193	232	201	244	235	204	322	245	457	645	702	721	1248	945	1536	1475	1381	1946	1387	2447	2522	3088	3100	4228	4164	4067	3938	10381	3295	8583	14622	8710	7703	16749	17306	22069	29483	36510	46957	61507	153689	529786	2748139	0
