# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	061c248d	ec9b4002	920d0ca9
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2759648	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2759648
SN	is sorted:	1
SN	1st fragments:	2759648
SN	last fragments:	0
SN	reads mapped:	2759648
SN	reads mapped and paired:	2759648	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	2759648	# proper-pair bit set
SN	reads paired:	2759648	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	210
SN	total length:	413937379	# ignores clipping
SN	total first fragment length:	413937379	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	413937379	# ignores clipping
SN	bases mapped (cigar):	413570254	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	806075	# from NM fields
SN	error rate:	1.949064e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	45.6
SN	insert size average:	444.6
SN	insert size standard deviation:	28.3
SN	inward oriented pairs:	1379800
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	10	0	169	213	348	167	150	292	389	134	203	312	218	247	1121	462	757	826	1012	2746	1033	1478	2035	1609	5558	1199	3565	2443	1266	14491	4179	1709	7274	27236	7336	42105	73984	637528	1913844	0	0	0	0	0	0	0	0	0	0
FFQ	2	2	0	0	71	75	71	82	91	98	73	110	99	98	153	268	250	430	408	599	656	1192	620	864	957	606	1589	248	3843	1887	706	3913	2819	7860	4817	993	5712	13324	3630	15796	21171	17978	45967	79567	373885	2146070	0	0	0	0
FFQ	3	0	0	2	54	66	60	84	74	65	65	102	79	100	157	248	242	384	374	507	622	1034	513	775	926	584	1465	220	3592	1799	604	3656	2614	7503	4481	894	5575	12774	3264	15005	20377	16454	43372	75863	362575	2170444	0	0	0	0
FFQ	4	2	0	0	56	68	57	83	66	81	68	103	87	117	146	281	225	385	399	511	582	989	551	734	870	570	1383	253	3803	1768	640	3424	2382	7527	4360	868	5686	12264	3156	15037	20010	15886	42027	74106	361508	2176529	0	0	0	0
FFQ	5	3	0	1	47	72	64	84	74	70	68	103	104	90	155	252	238	418	383	512	555	1098	519	777	918	579	1490	237	3907	1814	618	3529	2576	7845	4489	887	5750	12459	3356	15162	20529	16386	43641	75720	365296	2166773	0	0	0	0
FFQ	6	1	0	4	93	129	107	132	113	114	104	198	121	105	223	324	277	435	504	611	669	1454	578	847	1004	580	1531	220	4395	1960	590	3520	2554	8539	4360	935	5966	12694	3182	15663	21062	15302	42973	75540	368563	2161372	0	0	0	0
FFQ	7	3	0	93	692	675	465	825	650	555	354	750	461	327	1565	1127	453	844	1514	908	1097	4116	856	1326	1581	835	2187	283	8259	2925	590	4578	2874	14108	4828	1064	7833	15299	3278	18914	24808	15607	46635	81199	384084	2098223	0	0	0	0
FFQ	8	1	0	7	87	133	114	147	102	141	95	201	118	126	266	336	304	453	476	609	673	1302	625	832	1023	597	1566	228	4208	1947	647	3738	2679	8439	4493	927	5762	13324	3360	15784	20632	16220	43150	75826	366193	2161757	0	0	0	0
FFQ	9	2	0	12	199	232	242	213	222	275	220	240	301	312	444	554	696	566	1116	863	1487	1439	1265	1771	1264	2242	2172	2987	2404	4103	3550	3323	3030	10227	2088	7426	12423	6809	7472	14396	14383	18145	24749	31863	41807	43888	134263	496870	1855093	0
FFQ	10	3	0	15	131	176	179	148	179	202	189	175	255	236	346	462	595	527	961	781	1298	1330	1201	1622	1174	2080	2090	2724	2431	3718	3481	3120	2963	9829	2165	7250	12120	6835	7321	14463	14071	18181	25151	32103	41713	44530	135099	500814	1853211	0
FFQ	11	15	0	10	123	158	198	166	198	213	215	179	273	229	381	478	701	549	1005	797	1338	1328	1191	1649	1158	2126	2163	2730	2509	3879	3600	3399	3057	10008	2159	7105	12375	6762	7432	14421	14582	18364	24850	32087	42056	44815	137552	501214	1847851	0
FFQ	12	584	0	15	137	206	198	201	192	207	220	216	280	271	439	515	656	561	1054	864	1456	1378	1241	1716	1230	2246	2156	2994	2493	3868	3565	3376	3062	10303	2274	7465	12622	6859	7544	14533	14582	18273	25638	32611	42517	44715	136806	504772	1840537	0
FFQ	13	0	0	19	142	197	178	205	179	236	224	210	255	240	408	525	662	543	1027	892	1352	1376	1204	1730	1146	2121	2208	2986	2397	3681	3554	3301	3027	10134	2151	7093	12282	6759	7692	14016	14555	17986	25108	31917	42521	44077	136813	504496	1845823	0
FFQ	14	2	0	4	174	188	229	207	200	243	218	237	300	277	455	506	693	579	1087	882	1460	1401	1318	1796	1185	2233	2186	3029	2518	3868	3646	3371	3000	10374	2214	7466	12530	6943	7913	14253	14674	18618	25402	31850	42788	44205	137738	506061	1839127	0
FFQ	15	0	0	8	146	190	193	180	174	214	211	231	244	268	396	471	609	487	1046	811	1397	1347	1136	1594	1131	2214	2050	2894	2410	3762	3553	3203	2943	10079	2130	6985	12357	6679	7706	13910	14207	17668	25257	31372	42298	43615	135348	505955	1848569	0
FFQ	16	3	0	12	220	272	285	327	346	318	360	377	412	542	626	487	745	960	955	987	1070	1443	1220	1589	2027	2094	2131	3143	3210	4586	3283	3412	4608	7478	5889	8653	7728	11214	10835	10180	18565	17742	24056	33516	35982	57733	96680	184292	2187055	0
FFQ	17	3	0	13	222	307	332	321	351	333	345	448	459	568	608	525	764	866	981	911	1053	1465	1193	1689	2079	1962	2088	3132	3144	4529	3287	3481	4795	7397	6157	8784	7491	11115	10832	10213	18720	17706	24164	33858	36156	57455	97216	185196	2184934	0
FFQ	18	1	0	10	239	327	324	341	366	371	351	435	448	567	593	546	782	969	952	925	1037	1518	1228	1776	2129	2139	2347	3103	3342	4867	3505	3571	5006	7748	6035	8874	7859	11571	11209	10541	19252	18261	24364	34001	36290	58349	98046	185981	2177152	0
FFQ	19	60	0	10	252	314	322	360	359	337	353	422	426	535	556	526	701	931	956	964	1099	1474	1218	1719	2037	2002	2187	3099	3138	4621	3224	3405	4840	7521	5985	8691	7468	11394	10729	10050	18766	17589	24277	33964	35816	57000	96848	185060	2186043	0
FFQ	20	13	0	16	235	329	385	343	330	373	359	395	430	554	608	530	679	943	929	968	1119	1504	1230	1721	2126	2144	2143	3175	3138	4765	3376	3464	4800	7858	6029	8714	7579	11473	11023	10308	19132	17563	24436	34268	36432	57890	97068	186058	2180693	0
FFQ	21	2	0	12	246	333	353	333	354	320	415	443	483	533	616	507	747	1005	916	967	1065	1572	1291	1645	2078	2049	2196	3112	3175	4656	3313	3338	4851	7644	5989	8941	7695	11471	10947	10251	19052	17721	24323	33628	35968	57756	97568	185109	2182659	0
