# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	df2877a0	ef1256d7	72e28b80
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	779931	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	779931
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	779931
SN	reads mapped:	779931
SN	reads mapped and paired:	779931	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	779931	# proper-pair bit set
SN	reads paired:	779931	# paired-end technology bit set
SN	reads duplicated:	24290	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	37
SN	total length:	116989650	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	116989650	# ignores clipping
SN	bases mapped:	116989650	# ignores clipping
SN	bases mapped (cigar):	116799290	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	3643500
SN	mismatches:	414301	# from NM fields
SN	error rate:	3.547119e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	42.8
SN	insert size average:	423.2
SN	insert size standard deviation:	14.3
SN	inward oriented pairs:	389952
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	158	0	3	45	77	64	66	74	105	81	129	156	187	218	164	266	364	394	263	321	642	521	769	556	1160	501	1365	480	2440	1448	3299	2205	2001	6226	10342	14261	71799	656781	0	0	0	0	0	0	0	0	0
LFQ	2	330	0	0	44	57	46	40	56	64	68	103	112	119	123	148	250	195	246	313	336	386	457	451	574	473	730	700	919	757	1233	1198	1643	1672	1511	2665	3007	4290	5215	10439	19854	717426	1681	0	0	0	0	0
LFQ	3	0	0	0	27	45	56	46	50	78	52	92	111	106	125	189	228	189	258	363	370	369	493	397	670	453	747	702	951	777	1440	1354	1622	1689	1604	2636	3003	4442	5621	9504	18828	707174	13070	0	0	0	0	0
LFQ	4	0	0	0	57	87	87	100	95	93	91	130	158	168	180	212	315	253	292	428	415	385	577	486	720	531	852	824	1061	763	1551	1402	1746	1840	1741	2657	3259	4635	5748	9967	19877	709356	6792	0	0	0	0	0
LFQ	5	0	0	0	40	73	77	73	68	106	86	130	117	147	163	201	251	244	286	388	342	357	532	489	711	522	844	732	1117	631	1696	1372	1619	1881	1673	2552	3320	4639	5736	9521	19139	681229	36827	0	0	0	0	0
LFQ	6	0	0	0	94	104	115	115	110	139	104	184	192	207	186	285	368	310	333	433	447	452	661	592	849	580	906	868	1187	736	1766	1580	1873	2015	1841	2706	3460	4845	6176	9784	19887	692479	20962	0	0	0	0	0
LFQ	7	0	0	6	147	186	170	170	170	215	161	227	232	276	275	322	451	396	401	577	524	511	713	661	939	624	1029	924	1335	878	1884	1629	1981	2144	2022	2967	3710	5144	6507	14629	21897	689678	13219	0	0	0	0	0
LFQ	8	0	0	2	100	118	156	136	121	166	136	166	211	241	250	306	381	305	329	525	440	456	712	559	824	567	963	860	1281	710	1901	1487	1893	1967	1897	2718	3669	5127	6247	11254	20618	661453	48679	0	0	0	0	0
LFQ	9	0	0	1	134	167	171	151	162	177	234	233	227	314	329	383	397	462	549	559	659	695	731	970	828	1192	1012	1255	1286	1783	1798	1969	1729	2471	2585	3179	3035	4237	5068	5923	6707	10305	16052	21392	85529	592891	0	0
LFQ	10	6	0	3	92	157	133	140	149	194	187	196	226	318	302	406	393	454	524	531	581	656	740	929	777	1187	933	1240	1199	1775	1791	1935	1706	2489	2535	3065	3050	4042	5116	5770	6896	10057	15859	20905	84449	595838	0	0
LFQ	11	0	0	3	127	176	171	156	185	186	222	238	271	304	374	388	444	549	569	568	567	668	783	1007	876	1259	943	1252	1360	1862	1851	1994	1749	2563	2619	3157	3066	4185	5188	5716	6757	10141	16268	21082	84456	593631	0	0
LFQ	12	0	0	3	124	169	176	152	178	180	216	211	221	295	286	410	409	522	533	559	622	636	720	969	844	1277	934	1219	1244	1786	1778	2132	1710	2594	2562	2984	3048	4076	5159	5634	6900	9934	16366	21036	84399	594724	0	0
LFQ	13	0	0	2	148	197	195	187	184	195	218	235	277	314	296	401	398	526	518	558	679	655	799	980	783	1251	937	1312	1217	1837	1786	2128	1720	2676	2573	3116	3222	4086	5290	5693	7145	9929	16372	20806	84859	593231	0	0
LFQ	14	0	0	4	168	189	188	209	217	195	248	230	250	359	346	393	471	532	565	580	647	701	802	1014	877	1274	961	1321	1325	1778	1752	2151	1757	2689	2509	2871	3242	4055	5372	5598	7056	9935	16849	20626	84513	593112	0	0
LFQ	15	0	0	4	151	176	208	201	197	207	244	259	286	327	341	388	444	499	533	560	651	689	805	1041	846	1324	948	1321	1280	1915	1780	2187	1710	2642	2558	2883	3290	4068	5529	5479	7453	9854	16860	20590	84679	592524	0	0
LFQ	16	749	0	1	205	304	292	309	312	283	317	357	310	418	421	426	464	562	612	526	662	812	790	1023	1088	1158	1080	1337	1554	1538	2046	2129	1957	2870	2250	4210	3054	4343	5185	6249	6555	8922	10097	19923	29844	122725	529662	0
LFQ	17	0	0	0	246	341	268	315	308	292	327	321	333	365	448	452	483	525	614	569	690	812	704	1150	1056	1250	1133	1316	1534	1532	2010	2116	2002	2997	2275	4256	3058	4410	5072	6129	6723	8938	9995	20223	29712	123167	529464	0
LFQ	18	0	0	2	216	334	339	305	289	300	292	346	321	432	445	453	504	586	601	566	753	764	759	1137	1025	1190	1132	1343	1667	1511	2105	2201	1997	2910	2338	4216	3025	4320	5156	6060	6684	8886	9893	19816	29065	123299	530348	0
LFQ	19	7	0	1	186	325	272	275	271	261	313	324	290	396	414	459	453	537	595	521	655	795	752	1053	1069	1167	1083	1311	1488	1505	2048	1974	1849	2787	2329	4091	2861	4174	4988	6072	6298	8706	9904	19626	28697	119948	536801	0
LFQ	20	0	0	2	224	309	319	298	279	289	325	329	296	401	403	481	504	557	576	520	677	836	710	1076	1176	1183	1059	1350	1548	1486	2059	2116	1976	2971	2353	4360	2950	4216	5026	6054	6519	8737	9863	19794	28980	122711	532033	0
LFQ	21	0	0	1	232	342	298	305	292	317	319	333	303	427	405	410	500	556	607	514	766	795	761	1125	1192	1198	1035	1247	1537	1487	2012	2029	1971	2965	2277	4403	2975	4432	5038	5971	6601	8864	9947	19804	29034	122660	531644	0
