# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	6dcc9e9a	65fb1ca2	9fa42b31
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	10218	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	10218
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	10218
SN	reads mapped:	10218
SN	reads mapped and paired:	10218	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	10218	# proper-pair bit set
SN	reads paired:	10218	# paired-end technology bit set
SN	reads duplicated:	987	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	16
SN	total length:	1532700	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	1532700	# ignores clipping
SN	bases mapped:	1532700	# ignores clipping
SN	bases mapped (cigar):	1348088	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	148050
SN	mismatches:	6000	# from NM fields
SN	error rate:	4.450748e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	43.1
SN	insert size average:	131.7
SN	insert size standard deviation:	13.1
SN	inward oriented pairs:	1840
SN	outward oriented pairs:	3240
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	2	0	0	1	1	0	1	0	1	1	2	1	2	4	4	0	4	3	4	4	8	5	11	1	8	5	12	4	19	12	41	21	14	50	110	101	709	9052	0	0	0	0	0	0	0	0	0
LFQ	2	4	1	0	0	1	2	0	1	3	0	2	1	2	2	0	9	1	2	5	3	4	7	5	6	3	12	11	11	10	15	23	16	25	35	42	45	43	74	167	240	9370	15	0	0	0	0	0
LFQ	3	0	0	0	0	2	2	2	0	2	1	2	3	1	1	6	3	3	4	11	2	7	9	4	12	8	15	20	11	11	28	18	15	30	32	46	60	68	84	162	239	9113	181	0	0	0	0	0
LFQ	4	0	0	0	3	4	1	0	0	0	0	1	1	0	1	5	9	5	4	11	2	4	8	5	13	5	11	10	6	7	18	19	7	28	27	38	47	63	73	146	226	9337	73	0	0	0	0	0
LFQ	5	0	0	0	2	0	0	4	1	3	2	2	0	4	1	4	3	2	4	4	0	4	10	4	9	6	10	15	9	14	22	19	15	26	31	33	54	69	82	149	248	8879	474	0	0	0	0	0
LFQ	6	0	0	0	1	4	3	1	3	0	1	1	2	4	4	5	9	7	6	4	5	9	16	6	9	4	14	5	18	9	22	18	14	20	32	33	53	61	71	129	219	9133	263	0	0	0	0	0
LFQ	7	0	0	0	4	2	1	2	4	2	2	4	5	1	1	3	10	6	4	12	2	10	16	5	12	5	10	10	13	13	28	21	28	32	30	35	38	61	77	229	252	9061	167	0	0	0	0	0
LFQ	8	0	0	0	3	1	1	3	1	2	2	3	4	0	10	6	6	2	7	9	4	4	12	7	12	11	14	21	12	11	20	20	16	29	29	37	51	70	72	159	227	8702	618	0	0	0	0	0
LFQ	9	0	0	0	2	3	3	1	1	2	5	3	3	6	1	7	5	5	9	6	8	3	17	9	6	12	9	14	16	17	18	24	16	32	34	40	32	48	63	82	85	110	202	208	863	8188	0	0
LFQ	10	0	0	0	0	4	2	3	5	1	3	1	3	2	4	5	6	1	7	6	10	4	6	10	7	13	17	16	10	23	17	24	19	23	38	50	33	53	56	79	91	123	204	210	866	8163	0	0
