# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	a008ee08	6de813bb	8186806c
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2743417	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2743417
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	2743417
SN	reads mapped:	2743417
SN	reads mapped and paired:	2743417	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	2743417	# proper-pair bit set
SN	reads paired:	2743417	# paired-end technology bit set
SN	reads duplicated:	648956	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	145
SN	total length:	411512550	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	411512550	# ignores clipping
SN	bases mapped:	411512550	# ignores clipping
SN	bases mapped (cigar):	410226500	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	97343400
SN	mismatches:	1678979	# from NM fields
SN	error rate:	4.092810e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	38.9
SN	insert size average:	423.6
SN	insert size standard deviation:	14.4
SN	inward oriented pairs:	1371696
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	2861	0	0	0	0	0	0	0	0	0	62206	0	0	0	0	0	0	0	0	0	0	0	164795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2513555	0
LFQ	2	0	0	989	0	0	0	0	0	0	0	0	0	38341	0	0	0	0	0	0	0	0	0	0	0	74871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2629216	0
LFQ	3	0	0	4	0	0	0	0	0	0	0	0	0	29989	0	0	0	0	0	0	0	0	0	0	0	65435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2647989	0
LFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	30052	0	0	0	0	0	0	0	0	0	0	0	64924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2648441	0
LFQ	5	0	0	35	0	0	0	0	0	0	0	0	0	25997	0	0	0	0	0	0	0	0	0	0	0	59328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2658057	0
LFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	24747	0	0	0	0	0	0	0	0	0	0	0	57535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2661135	0
LFQ	7	0	0	38	0	0	0	0	0	0	0	0	0	25279	0	0	0	0	0	0	0	0	0	0	0	57581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2660519	0
LFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	25015	0	0	0	0	0	0	0	0	0	0	0	56816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2661586	0
LFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	22972	0	0	0	0	0	0	0	0	0	0	0	54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2665951	0
LFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	22955	0	0	0	0	0	0	0	0	0	0	0	52871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2667591	0
LFQ	11	0	0	30	0	0	0	0	0	0	0	0	0	21920	0	0	0	0	0	0	0	0	0	0	0	51130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2670337	0
LFQ	12	0	0	1	0	0	0	0	0	0	0	0	0	19367	0	0	0	0	0	0	0	0	0	0	0	47173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2676876	0
LFQ	13	0	0	50	0	0	0	0	0	0	0	0	0	18946	0	0	0	0	0	0	0	0	0	0	0	45743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2678678	0
LFQ	14	0	0	0	0	0	0	0	0	0	0	0	0	18401	0	0	0	0	0	0	0	0	0	0	0	44719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2680297	0
LFQ	15	0	0	38	0	0	0	0	0	0	0	0	0	18348	0	0	0	0	0	0	0	0	0	0	0	43803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2681228	0
LFQ	16	0	0	48	0	0	0	0	0	0	0	0	0	19670	0	0	0	0	0	0	0	0	0	0	0	46210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2677489	0
LFQ	17	0	0	0	0	0	0	0	0	0	0	0	0	20042	0	0	0	0	0	0	0	0	0	0	0	46543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2676832	0
LFQ	18	0	0	0	0	0	0	0	0	0	0	0	0	20134	0	0	0	0	0	0	0	0	0	0	0	46796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2676487	0
LFQ	19	0	0	0	0	0	0	0	0	0	0	0	0	20753	0	0	0	0	0	0	0	0	0	0	0	47441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2675223	0
LFQ	20	0	0	3	0	0	0	0	0	0	0	0	0	20760	0	0	0	0	0	0	0	0	0	0	0	47580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2675074	0
LFQ	21	0	0	0	0	0	0	0	0	0	0	0	0	20753	0	0	0	0	0	0	0	0	0	0	0	47762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2674902	0
LFQ	22	0	0	1	0	0	0	0	0	0	0	0	0	20787	0	0	0	0	0	0	0	0	0	0	0	47215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2675414	0
LFQ	23	0	0	0	0	0	0	0	0	0	0	0	0	20384	0	0	0	0	0	0	0	0	0	0	0	47149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2675884	0
LFQ	24	0	0	0	0	0	0	0	0	0	0	0	0	20578	0	0	0	0	0	0	0	0	0	0	0	46946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2675893	0
LFQ	25	0	0	3	0	0	0	0	0	0	0	0	0	20376	0	0	0	0	0	0	0	0	0	0	0	47199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2675839	0
LFQ	26	0	0	0	0	0	0	0	0	0	0	0	0	31987	0	0	0	0	0	0	0	0	0	0	0	69406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2642024	0
LFQ	27	0	0	0	0	0	0	0	0	0	0	0	0	31906	0	0	0	0	0	0	0	0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2641404	0
LFQ	28	0	0	4	0	0	0	0	0	0	0	0	0	31954	0	0	0	0	0	0	0	0	0	0	0	70179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2641280	0
LFQ	29	0	0	0	0	0	0	0	0	0	0	0	0	32190	0	0	0	0	0	0	0	0	0	0	0	69033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2642194	0
LFQ	30	0	0	8	0	0	0	0	0	0	0	0	0	31862	0	0	0	0	0	0	0	0	0	0	0	69918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2641629	0
LFQ	31	0	0	6	0	0	0	0	0	0	0	0	0	32661	0	0	0	0	0	0	0	0	0	0	0	69539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2641211	0
LFQ	32	0	0	51	0	0	0	0	0	0	0	0	0	30573	0	0	0	0	0	0	0	0	0	0	0	66153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2646640	0
LFQ	33	0	0	0	0	0	0	0	0	0	0	0	0	29148	0	0	0	0	0	0	0	0	0	0	0	63711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2650558	0
LFQ	34	0	0	319	0	0	0	0	0	0	0	0	0	29235	0	0	0	0	0	0	0	0	0	0	0	64244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2649619	0
LFQ	35	0	0	156	0	0	0	0	0	0	0	0	0	29487	0	0	0	0	0	0	0	0	0	0	0	63731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2650043	0
LFQ	36	0	0	119	0	0	0	0	0	0	0	0	0	30732	0	0	0	0	0	0	0	0	0	0	0	65618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2646948	0
LFQ	37	0	0	0	0	0	0	0	0	0	0	0	0	31547	0	0	0	0	0	0	0	0	0	0	0	66590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2645280	0
