# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	3febc834	e2ce9be9	ae3dde51
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2019200	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2019200
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	2019200
SN	reads mapped:	2019200
SN	reads mapped and paired:	2019200	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	2019200	# proper-pair bit set
SN	reads paired:	2019200	# paired-end technology bit set
SN	reads duplicated:	547216	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	90
SN	total length:	302880000	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	302880000	# ignores clipping
SN	bases mapped:	302880000	# ignores clipping
SN	bases mapped (cigar):	301788966	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	82082400
SN	mismatches:	1431836	# from NM fields
SN	error rate:	4.744494e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	38.7
SN	insert size average:	472.9
SN	insert size standard deviation:	14.3
SN	inward oriented pairs:	1009584
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	2128	0	0	0	0	0	0	0	0	0	61200	0	0	0	0	0	0	0	0	0	0	0	163897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1791975	0
LFQ	2	0	0	703	0	0	0	0	0	0	0	0	0	36829	0	0	0	0	0	0	0	0	0	0	0	77033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1904635	0
LFQ	3	0	0	10	0	0	0	0	0	0	0	0	0	28068	0	0	0	0	0	0	0	0	0	0	0	67126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1923996	0
LFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	28053	0	0	0	0	0	0	0	0	0	0	0	66295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1924852	0
LFQ	5	0	0	30	0	0	0	0	0	0	0	0	0	24329	0	0	0	0	0	0	0	0	0	0	0	60893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1933948	0
LFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	23349	0	0	0	0	0	0	0	0	0	0	0	57836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1938015	0
LFQ	7	0	0	42	0	0	0	0	0	0	0	0	0	23804	0	0	0	0	0	0	0	0	0	0	0	57858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1937496	0
LFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	23675	0	0	0	0	0	0	0	0	0	0	0	56240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1939285	0
LFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	21592	0	0	0	0	0	0	0	0	0	0	0	53514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1944094	0
LFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	21558	0	0	0	0	0	0	0	0	0	0	0	52315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1945327	0
LFQ	11	0	0	20	0	0	0	0	0	0	0	0	0	20748	0	0	0	0	0	0	0	0	0	0	0	50475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1947957	0
