# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /Users/pontus.hojer/analysis/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/GRCh38_GIABv3_no_alt_analysis_set_maskedGRC_decoys_MAP2K3_KMT2C_KCNJ18.fasta.gz -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	dcdfa3a3	9584c7d3	94e6aa00
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	12508045	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	12508045
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	12508045
SN	reads mapped:	12508045
SN	reads mapped and paired:	12507110	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	12206358	# proper-pair bit set
SN	reads paired:	12508045	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	35252
SN	total length:	1866038757	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	1866038757	# ignores clipping
SN	bases mapped:	1866038757	# ignores clipping
SN	bases mapped (cigar):	1862327553	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	4947268	# from NM fields
SN	error rate:	2.656497e-03	# mismatches / bases mapped (cigar)
SN	average length:	149
SN	average first fragment length:	0
SN	average last fragment length:	149
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	42.1
SN	insert size average:	393.5
SN	insert size standard deviation:	138.5
SN	inward oriented pairs:	6031728
SN	outward oriented pairs:	76331
SN	pairs with other orientation:	11382
SN	pairs on different chromosomes:	132767
SN	percentage of properly paired reads (%):	97.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	1	0	67	2194	2840	2064	2712	2294	2977	4006	4553	7140	3529	5330	3912	8818	6304	16133	4585	13546	25629	10213	23398	12672	26588	17739	13478	59792	19662	90016	39127	75671	54935	98441	230049	346544	10897496	373590	0	0	0	0	0	0	0	0	0	0
LFQ	2	0	0	1	1415	2055	2498	1525	2520	3152	2768	2619	4753	4360	4056	4824	7354	7610	11249	6648	10046	10565	17587	5878	16847	24389	12079	29703	39675	18695	33643	28179	42319	81718	36898	100230	95417	299545	375551	11159674	0	0	0	0	0	0	0	0	0
LFQ	3	0	0	1	1398	1924	2514	1543	2477	3222	2776	2611	4846	4309	3782	4750	7186	7436	11188	6375	9441	10370	17133	5663	16614	24115	12108	29159	38193	17796	33322	26547	40201	79449	35609	96853	94569	293040	333707	11225818	0	0	0	0	0	0	0	0	0
LFQ	4	1	0	0	1347	1956	2400	1496	2403	3150	2636	2518	4671	4064	3729	4508	7130	7367	10813	6308	9422	9900	17084	5453	16406	23250	11446	28441	37886	17213	32299	25551	39697	77207	33882	94035	92037	287070	321120	11262149	0	0	0	0	0	0	0	0	0
LFQ	5	27	0	0	1313	1868	2321	1379	2291	2998	2540	2399	4603	4120	3692	4519	6861	7082	10957	5957	8876	9503	16351	5282	15449	24053	11297	29463	36557	16647	32652	24858	37867	79438	32842	92697	96303	286279	316451	11270253	0	0	0	0	0	0	0	0	0
LFQ	6	346	0	0	1341	1808	2396	1356	2414	3114	2508	2379	4509	4073	3653	4515	7115	6982	10976	5743	9295	9452	16724	5342	15640	23608	11221	28902	36683	16531	32127	24329	38413	78298	32513	92904	94809	286927	316089	11273010	0	0	0	0	0	0	0	0	0
LFQ	7	0	0	0	1319	1814	2364	1346	2260	3120	2525	2412	4504	4038	3682	4556	7248	7237	11159	5882	9257	9509	16884	5236	15566	24056	11072	29224	36847	16734	32766	24762	38603	79304	33039	93095	95704	287381	317176	11266364	0	0	0	0	0	0	0	0	0
LFQ	8	269	0	0	1379	1852	2309	1361	2367	3255	2493	2421	4551	4096	3569	4583	7224	6983	11657	5991	8905	9726	16419	5328	15460	24657	11242	30389	35995	16590	32721	24827	37049	81649	32971	92352	99212	287445	318910	11259838	0	0	0	0	0	0	0	0	0
LFQ	9	5654	0	17	1170	1983	1925	2145	2316	2451	2477	3778	3290	4024	5065	5544	8734	6577	8465	9321	11267	13174	9575	10534	20065	14986	13778	16203	46588	21587	41288	17023	60174	27215	80592	52706	72295	67537	140835	114607	432641	1373408	9775031	0	0	0	0	0	0
LFQ	10	1	0	25	1277	2058	1869	2191	2385	2585	2495	3651	3330	4030	5141	5390	8777	6566	8114	9480	11512	13183	9408	10414	19844	14919	13505	16009	47174	21469	42051	16198	59868	26865	81271	51857	72054	67602	138619	113064	432998	1368411	9790385	0	0	0	0	0	0
LFQ	11	18	0	416	1515	2080	1936	2218	2368	2540	2611	3956	3384	4098	5363	5688	8773	6654	8028	9353	11388	13486	9475	10135	19747	15206	13337	16503	46173	21673	42544	16135	59470	27531	79483	52344	72119	68177	136695	113185	426654	1363398	9802188	0	0	0	0	0	0
LFQ	12	0	0	11	1292	2138	1963	2138	2381	2691	2527	3764	3597	4072	5272	5611	8647	6958	8018	9685	10953	13821	9574	10435	20312	15354	13357	16872	45761	21369	42841	16228	60057	27822	79134	52898	72866	68729	135961	115446	428129	1372600	9786761	0	0	0	0	0	0
LFQ	13	2	0	16	1283	2147	2007	2150	2396	2621	2638	3889	3437	4092	5309	5756	8868	6737	8351	9503	11681	13572	9637	10433	20249	15409	13872	16235	48055	21367	42334	16176	60392	27073	81396	52491	73430	67542	139718	114087	434481	1375359	9771854	0	0	0	0	0	0
LFQ	14	3	0	24	1347	2150	2017	2245	2495	2662	2570	3978	3346	4265	5332	5707	8964	6555	8476	9531	11701	13703	9635	10512	20018	15457	13707	16015	48027	21336	41811	16131	60165	26539	81290	52083	72198	66916	140315	111849	434571	1368556	9783843	0	0	0	0	0	0
LFQ	15	0	0	19	1372	2176	2092	2297	2475	2610	2642	4018	3555	4243	5455	5789	9090	6766	8437	9917	11884	14139	9828	10742	20681	15366	13781	16461	47870	21640	42527	16500	60534	27241	81381	52896	72750	68324	139149	114935	433128	1371523	9771812	0	0	0	0	0	0
