# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /Users/pontus.hojer/analysis/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/GRCh38_GIABv3_no_alt_analysis_set_maskedGRC_decoys_MAP2K3_KMT2C_KCNJ18.fasta.gz -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	d08ba219	8ca26135	5ca9b2f7
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	12557332	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	12557332
SN	is sorted:	1
SN	1st fragments:	12557332
SN	last fragments:	0
SN	reads mapped:	12557332
SN	reads mapped and paired:	12530797	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	12215350	# proper-pair bit set
SN	reads paired:	12557332	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	28374
SN	total length:	1873311770	# ignores clipping
SN	total first fragment length:	1873311770	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	1873311770	# ignores clipping
SN	bases mapped (cigar):	1870764283	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	3788849	# from NM fields
SN	error rate:	2.025295e-03	# mismatches / bases mapped (cigar)
SN	average length:	149
SN	average first fragment length:	149
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	45.6
SN	insert size average:	393.4
SN	insert size standard deviation:	138.6
SN	inward oriented pairs:	6036160
SN	outward oriented pairs:	76449
SN	pairs with other orientation:	12916
SN	pairs on different chromosomes:	138494
SN	percentage of properly paired reads (%):	97.3
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	32	0	871	1003	1685	772	765	1383	1985	546	975	1516	1021	1170	5462	2206	3475	3840	4734	14371	4395	6937	9500	7520	29275	5382	16788	11392	5915	74002	19527	7020	33290	139283	34029	214493	372196	2791846	8726730	0	0	0	0	0	0	0	0	0	0
FFQ	2	4	0	4	360	407	355	497	359	510	447	570	522	534	777	1554	1179	2176	1973	2841	3372	6032	2628	4281	4518	3383	7841	1115	19774	10059	2956	18604	13766	41925	23584	4244	31080	67162	20830	81225	110728	96878	241375	413597	1889881	9421425	0	0	0	0
FFQ	3	3	0	7	244	352	288	423	332	393	340	496	458	486	649	1326	1093	2046	1823	2461	2960	5274	2407	3934	4402	3019	7153	991	17968	9417	2601	17151	12272	39528	21150	3946	28826	63193	17719	74497	104108	84126	221328	386864	1822612	9586666	0	0	0	0
FFQ	4	5	0	5	297	388	313	458	319	396	398	523	450	529	780	1423	1061	1973	1939	2518	3010	5632	2468	3787	4200	3141	7066	966	19099	9501	2687	16607	12113	40873	20776	3876	29933	60986	17158	75436	103157	79948	213615	375713	1803512	9628297	0	0	0	0
FFQ	5	4	0	4	280	386	308	442	321	408	430	534	498	550	737	1401	1044	2122	1826	2670	3096	5595	2461	4047	4425	3238	7536	1063	19721	9546	2789	17506	13032	41991	22241	4058	30327	63491	18711	78405	105822	86147	224032	388793	1833756	9551538	0	0	0	0
FFQ	6	3	0	23	477	603	492	705	525	587	515	836	558	572	1166	1689	1252	2300	2528	2757	3309	7309	2517	4119	4695	3078	7568	966	21964	10047	2569	17022	12346	45841	20471	3983	31186	62511	16834	78893	106716	77482	217303	380101	1821600	9579314	0	0	0	0
FFQ	7	15	0	545	3398	2869	2067	3843	2901	2388	1620	3288	2059	1328	7243	5141	2137	4016	6860	4230	5146	20089	3989	6163	7230	4103	10384	1223	39836	13680	2681	20952	13880	70279	22283	4500	39726	71173	17031	91806	120475	76357	227826	394068	1824637	9391867	0	0	0	0
FFQ	8	15	0	25	498	644	508	780	552	684	516	836	621	616	1246	1832	1347	2447	2510	2898	3394	6812	2695	4318	4885	3177	7942	1085	21143	10251	2772	18291	12790	44289	21503	4099	30248	64656	17796	78522	105279	80979	218802	380848	1815692	9576489	0	0	0	0
FFQ	9	5	0	75	907	1081	1126	1042	1045	1186	1183	1114	1461	1364	2233	2772	3172	2896	5507	4012	7497	7276	6024	8634	6265	10890	10911	15270	11984	18688	18180	16621	16019	48593	10799	36111	63255	34559	36537	66499	76052	89486	121585	153907	212332	218311	629100	2303850	8269916	0
FFQ	10	21	0	57	704	802	802	822	796	952	920	877	1180	1050	1826	2415	2825	2642	4938	3732	6687	6722	5624	8166	5862	10181	10444	14328	12111	17645	17847	16556	15978	47212	11493	36224	62886	35402	36495	67132	76561	90988	123922	155497	215658	223781	637773	2325342	8235454	0
FFQ	11	65	0	65	663	803	942	885	921	994	1018	903	1256	1168	1895	2403	3007	2719	5115	3742	6897	6829	5767	8164	6098	10470	10644	14382	12221	17874	18263	16585	16094	47470	11455	36170	63390	35736	36789	67416	77545	91541	123955	156236	216175	225849	641604	2331374	8215775	0
