# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	634c83d4	fc1d791e	fe907265
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	7264580	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	7264580
SN	is sorted:	1
SN	1st fragments:	7264580
SN	last fragments:	0
SN	reads mapped:	7264580
SN	reads mapped and paired:	7260255	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	7221309	# proper-pair bit set
SN	reads paired:	7264580	# paired-end technology bit set
SN	reads duplicated:	4126	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	4749
SN	supplementary alignments:	0
SN	total length:	1083884362	# ignores clipping
SN	total first fragment length:	1083884362	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	1083884362	# ignores clipping
SN	bases mapped (cigar):	1080822692	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	598016
SN	mismatches:	3157283	# from NM fields
SN	error rate:	2.921185e-03	# mismatches / bases mapped (cigar)
SN	average length:	149
SN	average first fragment length:	149
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	42.3
SN	insert size average:	345.6
SN	insert size standard deviation:	102.0
SN	inward oriented pairs:	3566447
SN	outward oriented pairs:	45931
SN	pairs with other orientation:	4483
SN	pairs on different chromosomes:	12174
SN	percentage of properly paired reads (%):	99.4
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	30	0	7	263	355	367	391	397	202	493	463	553	353	666	822	599	1441	1608	2453	1481	2480	2813	1803	3313	3822	3173	5325	3203	8346	8769	11496	10557	16614	23364	29915	99793	800699	6214644	1052	0	455	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	1	4	0	2	19	17	14	41	6	173	281	212	251	392	401	764	1348	1491	2450	1179	3785	2493	4885	7682	6842	13756	15425	21119	35250	50494	97755	345857	1656304	4985323	7775	789	0
FFQ	3	0	0	0	0	0	0	0	4	0	0	1	1	2	10	27	18	58	5	132	317	213	319	455	445	872	1447	1745	2693	1273	3692	2910	5266	8428	7457	14786	15557	21876	35283	50072	102458	344435	1649260	4989772	3134	157	0
FFQ	4	0	0	0	0	0	0	0	2	0	0	0	4	4	21	35	15	91	5	185	357	262	347	459	526	912	1565	1805	2885	1521	4150	2794	5578	8420	7684	15080	17003	23103	36820	53734	106992	354955	1662589	4952043	2499	135	0
FFQ	5	0	0	0	0	1	0	0	0	0	0	0	2	4	20	31	15	71	4	163	368	225	370	504	509	926	1478	1763	2871	1379	4097	2723	5573	8499	7517	14866	16553	22830	36693	53050	104923	355764	1664876	4952772	2896	244	0
FFQ	6	96	0	0	178	409	283	348	355	282	403	384	477	373	510	546	1431	1667	1325	1603	1859	2117	2406	2094	2578	3498	4632	2503	4309	4405	6387	6611	6666	9938	11285	13822	17517	10262	28840	29950	42423	72692	108088	212240	470300	6176488	0
FFQ	7	0	0	1	290	491	353	408	459	427	459	490	596	437	656	677	1534	1902	1398	1982	2210	2260	2620	2533	3005	3808	5215	3204	4492	5302	6571	7306	7529	10710	12211	15093	17448	12589	30825	30721	47661	73907	116001	219515	475415	6133869	0
FFQ	8	0	0	0	242	437	317	367	442	382	420	462	538	442	606	577	1470	1848	1338	1825	2006	2091	2436	2393	2788	3680	4718	3120	4156	4818	6387	7632	6956	10272	11647	14568	17034	11754	30085	30553	46714	72207	113928	216810	468876	6155238	0
FFQ	9	0	0	0	291	488	393	383	492	392	433	478	543	508	701	651	1487	1906	1320	2093	2104	2202	2651	2635	2929	3510	4842	3683	4121	5623	6748	8403	7223	10517	11504	15185	17247	13424	31192	30973	50733	70592	116953	223073	465321	6138633	0
FFQ	10	0	0	0	237	416	359	404	421	388	418	442	504	432	663	605	1353	1827	1423	1879	1982	2262	2557	2632	2795	3552	4800	3591	4680	5452	6866	7783	7219	10163	11927	15065	18253	12746	29776	31143	47561	72737	112539	222011	463981	6148736	0
