# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	a4e6bbf2	399ee65a	40332be3
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	7256011	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	7256011
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	7256011
SN	reads mapped:	7256011
SN	reads mapped and paired:	7253407	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	7216370	# proper-pair bit set
SN	reads paired:	7256011	# paired-end technology bit set
SN	reads duplicated:	3935	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	6449
SN	supplementary alignments:	0
SN	total length:	1082661688	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	1082661688	# ignores clipping
SN	bases mapped:	1082661688	# ignores clipping
SN	bases mapped (cigar):	1078579916	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	570959
SN	mismatches:	4481296	# from NM fields
SN	error rate:	4.154811e-03	# mismatches / bases mapped (cigar)
SN	average length:	149
SN	average first fragment length:	0
SN	average last fragment length:	149
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	41.2
SN	insert size average:	345.6
SN	insert size standard deviation:	102.0
SN	inward oriented pairs:	3564120
SN	outward oriented pairs:	45738
SN	pairs with other orientation:	4071
SN	pairs on different chromosomes:	11736
SN	percentage of properly paired reads (%):	99.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	288	0	7	485	664	541	514	551	657	777	599	790	804	890	1041	1798	3327	3078	2153	4560	3856	3190	6263	4723	5972	8816	7923	12548	9594	14003	25352	29060	33528	62483	142727	739491	6117781	4355	822	0	0	0	0	0	0	0
LFQ	2	5469	10	14	586	779	754	697	832	701	862	834	807	1014	1011	1574	3450	2961	3454	3270	4485	4050	4936	5668	6093	6735	8687	7570	10033	11085	16480	14647	16956	23355	37280	36050	74946	158346	6775743	3781	3	3	0	0	0	0	0
LFQ	3	104	9	29	372	447	449	486	523	492	638	638	610	866	792	1147	3030	2538	3143	2939	4105	3657	4975	5082	5759	6478	7982	7223	9756	10996	15689	13785	16200	22640	37758	35331	74577	159052	6713911	81721	35	38	9	0	0	0	0
LFQ	4	26	17	34	533	676	651	591	710	661	853	771	861	1037	1002	1490	3296	2953	3515	3146	4448	4110	5282	5512	6281	6630	8252	7711	10475	12055	16930	14233	17054	23948	39200	36110	75964	162056	6643105	133726	48	48	10	0	0	0	0
LFQ	5	0	4	13	427	508	502	509	575	495	608	629	686	820	774	1205	2832	2767	2784	2558	4008	3442	4300	5139	4971	5941	6856	6557	9025	10104	14986	11400	14144	21824	28191	36648	61120	134683	5820541	1031105	1799	454	47	21	9	0	0
LFQ	6	0	0	0	608	909	936	887	969	1006	1054	1168	1239	1293	1497	2369	4197	4502	4574	4704	5960	5812	7133	8324	8474	10488	11065	11516	12609	18766	15146	22025	21573	24739	36242	29908	40914	57530	69252	93056	115768	206571	305967	439442	1037979	4607840	0
LFQ	7	1	1	1	940	1468	1374	1367	1325	1443	1371	1548	1690	1778	1906	3095	4918	5029	5283	5955	6407	7016	7917	8784	9703	11692	12517	12771	13881	20440	16442	22756	24109	27705	36143	32867	41506	55789	69325	87241	118124	202746	290068	429955	1029367	4620247	0
LFQ	8	16	0	1	893	1286	1286	1279	1254	1353	1365	1526	1614	1685	1921	2892	4539	4720	4939	5630	6543	6616	7600	8431	9218	11287	12088	13196	14242	18821	16344	21538	24204	27035	34941	33928	44112	52907	63974	84024	115616	190813	277512	418726	1021684	4682412	0
LFQ	9	265	0	1	893	1438	1443	1295	1335	1288	1414	1538	1609	1757	1937	2949	4467	4835	5113	5928	6416	6954	7590	8396	9562	11310	12476	13436	14742	18678	16755	21403	24714	27939	34509	34481	45564	50967	64769	82206	115417	187649	274863	413720	1007452	4704538	0
LFQ	10	267	0	0	740	1167	1171	1091	1129	1146	1287	1377	1500	1490	1718	2592	4262	4467	4705	5190	6128	6143	7072	7968	8573	10648	11764	12645	13508	16864	15773	19964	23330	25590	33012	33338	42960	49489	56472	80523	108492	179365	260547	400024	1003985	4786535	0
LFQ	11	3265	1	63	952	1416	1297	1309	1278	1241	1432	1555	1651	1644	1907	2677	4409	4806	4939	5504	6537	6427	7275	7822	8975	11195	11737	13133	14212	17193	15883	20777	23054	26361	32939	34178	44355	49333	59795	81513	109089	179275	262713	401461	998590	4770843	0
LFQ	12	773	0	0	872	1352	1305	1274	1267	1293	1392	1558	1626	1750	1982	2698	4481	4805	4915	5643	6620	6425	7250	8339	8870	11066	11799	13022	14417	17077	16195	21109	22843	26059	33322	33927	44273	49301	59111	81736	109541	178574	262450	403278	1014119	4756302	0
LFQ	13	0	0	1	806	1251	1317	1161	1259	1233	1335	1488	1526	1641	1942	2322	4184	4745	4927	5516	6095	6256	7285	8144	8769	10378	11896	11989	14830	14987	16824	20653	21808	25432	31447	31690	45653	45363	57474	70725	107856	157137	244663	379445	990508	4872050	0
LFQ	14	1	0	2	812	1435	1379	1281	1296	1454	1498	1683	1686	1800	2208	2330	4335	4815	4947	5999	5977	7269	6939	9473	8502	10932	13000	11976	15264	16004	19505	20780	21823	28586	28930	34494	45146	50152	50786	72791	100722	146872	231121	374664	979830	4905512	0
LFQ	15	14474	0	0	913	1393	1419	1305	1303	1406	1434	1642	1629	1716	2234	2267	4298	4832	4879	5967	5789	7130	6924	9117	8381	10537	12654	11437	14844	15293	18944	20595	21332	26683	28693	32973	43956	48669	49978	69643	99635	142591	225657	368325	969612	4933508	0
LFQ	16	291	0	3	1614	2495	2457	2303	2320	2365	2468	2721	2772	2812	3528	3693	4358	4866	4917	5810	5940	6978	7187	8645	8834	10377	12091	11832	14870	14740	18244	20733	21448	25718	29303	32000	43482	46547	54114	67074	102561	144558	229237	368969	968886	4929850	0
LFQ	17	2	0	0	1535	2458	2461	2300	2197	2481	2335	2725	2700	2870	3684	3575	4113	4726	4875	5643	5915	7150	6918	9113	8484	10639	12580	11780	14656	16085	18748	20284	22051	26477	27915	35108	42230	47918	47804	70596	96129	138251	217540	361796	952970	4976194	0
LFQ	18	0	0	1	1703	2576	2573	2414	2271	2468	2604	2832	2884	2874	3498	3687	4346	4743	4801	5820	6049	6902	7073	8605	8513	10660	12261	12197	14782	15450	18091	20555	21905	25727	28966	33421	43532	47212	53537	68972	100094	144451	226147	367205	967991	4933618	0
LFQ	19	46	0	0	1467	2447	2423	2315	2233	2338	2422	2723	2788	2650	3567	3469	4161	4620	4747	5460	5646	6914	6627	8749	8224	10131	12333	11279	14383	15462	18036	19880	21919	25819	27727	33713	42105	47505	48222	69245	97065	136396	216952	361918	952000	4987885	0
LFQ	20	0	0	2	1544	2545	2679	2444	2302	2587	2538	2930	2871	3021	3715	3646	4217	4908	4894	5580	6383	7480	7132	9161	8670	10866	13061	12236	14786	16396	19279	20363	23111	27349	28011	36431	41700	47929	47149	72545	93528	134840	213407	361291	951212	4979272	0
LFQ	21	550	0	1	1603	2532	2626	2453	2389	2628	2576	2960	2976	3221	3785	3716	4267	5091	5036	5625	6902	7710	7220	9342	9451	11078	12870	13300	14653	17123	19192	20643	25130	27755	28648	38888	41565	45762	49141	73408	93999	131325	207933	356478	946169	4986291	0
LFQ	22	4573	0	2	1696	2702	2751	2484	2486	2714	2641	2991	3040	3074	3851	3768	4450	4977	4976	5881	6152	7650	7235	9220	8884	10971	13046	11999	15149	16212	19137	20362	23307	27058	27993	36412	41898	49301	47928	72380	93888	135642	214397	359623	947462	4973648	0
LFQ	23	435	0	3	1737	2805	2771	2501	2499	2618	2767	3063	3093	3305	3886	3874	4442	5083	5014	5872	6621	7692	7076	9273	9140	11078	12858	12794	14854	16976	18845	20453	24666	26767	28043	37200	40908	46602	47697	71498	93930	126317	202264	350540	927133	5029018	0
LFQ	24	5299	0	3	1621	2676	2572	2483	2517	2543	2685	2811	3059	3471	3776	4020	4491	5080	4997	5723	6727	7732	7354	9244	9397	11046	13197	12878	15297	17291	18395	20849	26236	27176	28011	37599	39615	46920	47688	71668	96294	114737	195275	341351	911271	5062934	0
LFQ	25	10	0	0	1745	2838	2828	2603	2699	2846	2839	3199	3100	3391	3997	4168	4468	5331	5279	5943	6948	7965	7407	9827	9542	11499	13419	13394	15436	17320	19600	21191	25682	28036	29183	38078	41361	47485	49028	73172	93668	129370	207349	353284	936280	4993201	0
LFQ	26	260	0	1	1659	2793	2706	2573	2524	2550	2765	2992	3026	3502	3660	4030	4504	5135	5277	5870	6945	7711	7468	9330	9531	11379	13122	13494	15394	17251	18656	20757	26525	27756	28541	38067	39652	46933	48828	72434	95835	116923	195767	343925	919389	5048564	0
LFQ	27	73	0	2	1785	2981	2918	2839	2727	2777	2916	3125	3403	3771	3991	4153	4861	5336	5754	6074	7308	8418	8304	9578	10570	12361	13701	14330	16423	18069	19709	21874	27573	29654	30211	38756	41072	47333	55202	71379	97094	115799	190204	336296	919291	5036002	0
LFQ	28	4	0	2	1772	3073	2938	2853	2804	2729	3105	3043	3341	3839	4096	4290	4899	5375	5870	6113	7316	8353	8290	9627	10552	12328	13285	14333	16728	17691	20091	21821	27736	29431	30542	38500	41155	48007	53988	71411	95760	115175	189675	335948	916587	5041514	0
LFQ	29	4796	0	3	1805	3084	3012	2889	2843	2804	3064	3305	3453	3853	4069	4215	5009	5567	5820	6321	7452	8485	8399	9700	10920	12551	13593	14857	16764	18593	20049	22518	27764	30271	31253	39074	41788	48366	56154	71874	96019	118169	190451	338073	932641	5004288	0
LFQ	30	1563	5	153	1794	3002	2810	2802	2674	2688	2857	3118	3192	3766	3881	4142	4875	5083	5404	5788	7043	8139	7900	9385	10019	11695	13559	13608	15918	17378	19076	20820	26577	28583	29361	37317	39667	47690	50598	71015	91314	114712	188354	333450	899193	5083996	0
LFQ	31	4544	3	80	1891	3081	2981	2956	2858	2837	3072	3182	3478	3857	4215	4152	5003	5401	5634	6034	7136	8390	8071	9531	10357	12215	13496	13925	16421	17719	19498	21611	27081	29112	29902	37731	40266	47763	53035	69549	93031	114816	186818	330643	896740	5075832	0
LFQ	32	1	0	0	1739	3022	2949	2703	2825	2703	2929	3071	3346	3855	4020	4382	4843	5313	5469	6057	7008	8413	8193	9495	10127	12128	13523	14035	16386	17925	19208	21388	27615	28560	29033	37993	40559	47689	50514	72648	95601	113547	191587	336142	909785	5057602	0
LFQ	33	12	0	3	1959	3191	3048	2990	2767	2880	3100	3246	3510	3950	4094	4190	5047	5567	5742	6214	7174	8518	8142	9904	10390	12075	13684	14229	16606	17647	19522	21279	27437	29181	29744	38187	40621	47360	52138	71235	93033	113643	187454	329924	897214	5078036	0
LFQ	34	109	0	2	1874	3063	3085	2999	2850	2997	3122	3270	3601	3702	4443	4434	5069	5657	5972	6287	7556	8433	8454	9926	10889	12396	13918	15395	16356	18843	19868	22704	25958	30259	31919	37694	41067	47712	57237	67188	88294	118180	176090	318573	891837	5096569	0
LFQ	35	333	0	3	1982	3412	3290	3091	3096	3184	3266	3362	3670	4080	4492	4520	5215	5963	6068	6789	7780	8694	8918	10173	11206	12875	14073	15426	17119	19369	20314	23203	27209	30824	32469	38803	42146	48729	57404	69610	92377	118235	181828	328310	907726	5045166	0
LFQ	36	4	0	0	1875	3143	3253	3100	2907	2947	3102	3300	3577	4010	4165	4366	4919	5698	5941	6430	7586	8474	8626	9781	10581	12467	13456	14908	16485	18313	20089	22097	26048	30117	31091	38467	40878	47252	56082	66240	89031	116925	176692	321109	882350	5107886	0
LFQ	37	54	0	4	1893	3335	3132	3076	2949	3184	3246	3342	3782	3945	4321	4546	5026	5644	6003	6486	7607	8509	8478	9942	11026	12464	13888	15164	16268	18997	19427	22535	25755	30267	31272	38282	40583	47605	56547	65891	86167	117329	172972	313609	874568	5126571	0
LFQ	38	4	0	4	2049	3307	3097	3111	3011	3225	3185	3295	3663	3904	4467	4577	5208	5765	6113	6515	7683	8572	8699	10147	11239	12510	14022	15438	16567	19487	19707	23032	25377	30257	32063	38685	41398	48155	57684	66625	86004	118620	173817	315027	880804	5109496	0
