random_l30_n1000000	../../analysis/stack_reads/random_l30_n1000000.bed.gz
G4	../G4/pqsfinder_hg38.sort.bed.gz
SimpleRepeat_diTR_10to49_slop5	LowComplexity/GRCh38_SimpleRepeat_diTR_10to49_slop5.bed.gz
SimpleRepeat_homopolymer_4to6_AT_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_4to6_AT_slop5.bed.gz
SimpleRepeat_homopolymer_4to6_GC_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_4to6_GC_slop5.bed.gz
SimpleRepeat_homopolymer_4to6_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_4to6_slop5.bed.gz
SimpleRepeat_homopolymer_7to11_AT_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_7to11_AT_slop5.bed.gz
SimpleRepeat_homopolymer_7to11_GC_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_7to11_GC_slop5.bed.gz
SimpleRepeat_homopolymer_7to11_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_7to11_slop5.bed.gz
SimpleRepeat_homopolymer_ge12_AT_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_ge12_AT_slop5.bed.gz
SimpleRepeat_homopolymer_ge12_GC_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_ge12_GC_slop5.bed.gz
SimpleRepeat_homopolymer_ge12_slop5	LowComplexity/GRCh38_SimpleRepeat_homopolymer_ge12_slop5.bed.gz
SimpleRepeat_imperfecthomopolge11_AT_slop5	LowComplexity/GRCh38_SimpleRepeat_imperfecthomopolge11_AT_slop5.bed.gz
SimpleRepeat_imperfecthomopolge11_GC_slop5	LowComplexity/GRCh38_SimpleRepeat_imperfecthomopolge11_GC_slop5.bed.gz
SimpleRepeat_imperfecthomopolge11_slop5	LowComplexity/GRCh38_SimpleRepeat_imperfecthomopolge11_slop5.bed.gz
SimpleRepeat_quadTR_19to49_slop5	LowComplexity/GRCh38_SimpleRepeat_quadTR_19to49_slop5.bed.gz
SimpleRepeat_triTR_14to49_slop5	LowComplexity/GRCh38_SimpleRepeat_triTR_14to49_slop5.bed.gz
