# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	69366d67	f322961d	7235edad
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	507336	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	507336
SN	is sorted:	1
SN	1st fragments:	507336
SN	last fragments:	0
SN	reads mapped:	507336
SN	reads mapped and paired:	507336	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	507336	# proper-pair bit set
SN	reads paired:	507336	# paired-end technology bit set
SN	reads duplicated:	18492	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	51
SN	total length:	76100400	# ignores clipping
SN	total first fragment length:	76100400	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	76100400	# ignores clipping
SN	bases mapped (cigar):	76014439	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	2773800
SN	mismatches:	195061	# from NM fields
SN	error rate:	2.566105e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	43.9
SN	insert size average:	327.3
SN	insert size standard deviation:	14.2
SN	inward oriented pairs:	253657
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	1	0	0	5	6	10	10	2	9	6	13	9	7	19	9	29	13	52	58	8	75	78	40	76	166	144	0	205	299	311	391	0	1015	630	1472	2941	11900	153578	333749	0	0	0	0	0	0	0	0
FFQ	2	1053	0	0	4	7	8	4	6	12	5	2	8	8	10	8	30	19	42	45	32	51	30	63	92	40	101	148	22	138	353	129	259	306	300	528	458	913	640	1411	2381	5473	14284	62250	415663	0	0	0
FFQ	3	27	0	0	1	3	9	4	9	7	7	3	8	8	6	9	28	19	37	46	24	72	39	64	101	32	90	152	36	157	363	103	260	291	276	556	467	963	703	1475	2385	5789	14597	63029	415081	0	0	0
FFQ	4	1	0	0	4	9	5	4	9	12	10	8	13	8	5	12	30	27	38	65	46	75	43	69	79	44	97	169	44	173	379	153	261	334	323	625	518	1021	698	1509	2556	5720	14973	64589	412578	0	0	0
FFQ	5	0	0	0	9	8	8	5	13	13	12	11	20	25	17	23	53	34	76	100	54	144	62	142	143	91	167	239	121	268	418	173	396	467	407	741	690	1141	903	1843	2772	6017	14919	64199	410392	0	0	0
FFQ	6	0	0	2	25	22	26	21	20	36	26	18	30	49	29	49	95	58	89	112	88	143	81	169	158	135	183	222	165	349	412	250	380	555	489	757	719	1304	897	2043	3013	6081	15245	66894	405897	0	0	0
FFQ	7	0	0	1	31	42	43	17	53	32	40	45	44	48	33	62	106	89	115	133	89	188	97	217	194	174	233	238	229	371	451	301	397	612	525	784	767	1326	968	2156	3062	6261	15707	68272	402783	0	0	0
FFQ	8	0	0	1	28	33	24	27	29	30	37	26	36	38	28	40	90	78	93	117	89	181	76	193	202	161	217	242	168	364	425	243	413	632	463	774	796	1314	892	2087	2942	6278	15375	66565	405489	0	0	0
FFQ	9	0	0	5	38	47	43	47	42	47	46	47	70	56	71	105	106	185	137	152	218	178	226	270	249	308	358	432	500	487	472	642	600	1119	617	954	1370	1325	1675	2119	2402	3942	3388	9219	19900	304358	148764	0
FFQ	10	58	1	7	39	40	41	28	47	29	40	38	50	41	57	84	101	179	113	154	208	174	218	239	253	327	341	402	434	475	434	604	636	1094	606	1077	1341	1311	1758	2231	2264	4098	3360	9362	19668	280494	172780	0
FFQ	11	0	0	5	43	56	44	41	62	35	68	53	59	59	68	105	133	172	148	172	224	178	234	283	270	311	338	437	505	514	515	667	621	1151	624	1049	1310	1326	1709	2237	2560	4203	3592	9472	20381	299817	151485	0
FFQ	12	0	0	1	33	50	39	43	61	35	49	41	66	57	76	93	116	169	129	184	235	173	224	277	249	310	343	452	477	456	499	610	598	1121	641	1091	1329	1272	1859	2279	2376	4136	3373	9649	20147	283482	168436	0
FFQ	13	0	1	1	34	50	42	51	50	44	52	45	58	49	80	106	134	182	135	179	181	172	242	293	285	301	345	486	496	490	489	691	651	1178	608	1091	1391	1325	1753	2233	2369	4223	3365	9479	20198	282869	168839	0
FFQ	14	0	0	3	42	50	52	35	39	41	53	53	58	48	74	95	117	163	122	160	238	187	243	295	304	356	349	431	525	521	482	664	598	1114	657	1137	1318	1244	1806	2309	2373	4189	3450	9759	20080	275991	175511	0
