# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	8549756b	c4d24b4c	9e60045f
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1867427	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1867427
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	1867427
SN	reads mapped:	1867427
SN	reads mapped and paired:	1867427	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	1867427	# proper-pair bit set
SN	reads paired:	1867427	# paired-end technology bit set
SN	reads duplicated:	10653	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	198
SN	total length:	280114050	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	280114050	# ignores clipping
SN	bases mapped:	280114050	# ignores clipping
SN	bases mapped (cigar):	279645802	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	1597950
SN	mismatches:	1432794	# from NM fields
SN	error rate:	5.123603e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	41.7
SN	insert size average:	327.1
SN	insert size standard deviation:	14.2
SN	inward oriented pairs:	933701
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	57	0	42	379	494	464	497	525	527	449	743	745	779	846	1126	1268	1867	1462	2125	2187	1971	2407	2592	4690	3857	3106	5155	7889	3569	11425	6333	16491	12130	18057	41513	59294	252284	1398082	0	0	0	0	0	0	0	0	0
LFQ	2	5	0	7	288	378	428	425	452	480	526	561	765	791	756	1013	1555	1230	1714	1971	1937	2368	2035	3154	3089	3442	4523	4851	4821	6940	7010	5549	9535	8891	17786	15582	19188	40101	51524	1236504	320087	85165	0	0	0	0	0	0
LFQ	3	0	0	0	234	281	337	364	364	422	421	498	594	621	654	918	1347	1083	1572	1813	1824	2248	1885	2868	2623	3341	4143	4380	4516	5895	6245	5521	8326	8311	15201	13336	17282	30802	41891	716572	450995	507699	0	0	0	0	0	0
LFQ	4	0	0	6	358	397	471	524	460	553	569	547	785	786	822	1134	1591	1293	1819	2012	2046	2301	2127	2942	2898	3399	4376	4597	4459	6218	6393	5725	8397	7946	14845	13726	16884	30582	41533	782771	467783	421352	0	0	0	0	0	0
LFQ	5	3	1	3	298	393	426	446	417	510	528	553	708	741	806	1010	1421	1286	1776	1781	1928	2301	2042	2761	2630	3405	4022	4088	4281	5612	5674	5505	7793	7671	13042	11888	16069	24827	34255	505098	428613	760815	0	0	0	0	0	0
LFQ	6	0	2	7	454	614	656	663	619	735	752	785	927	1058	1019	1309	1785	1615	2018	2112	2305	2756	2331	3328	3064	3746	4498	4790	4587	6302	6357	6099	8884	8133	14757	13475	17452	29707	39957	724024	484183	459562	0	0	0	0	0	0
LFQ	7	2	4	48	703	993	1116	1099	1005	1156	1099	1105	1434	1587	1319	1641	2426	2137	2690	2799	2870	3359	2859	4296	4073	4382	5559	6247	5228	8519	7852	7184	10798	9655	18177	16652	20065	40136	50496	1169996	329393	115268	0	0	0	0	0	0
LFQ	8	395	3	18	605	798	860	874	808	880	880	895	1096	1336	1216	1326	1972	1876	2343	2387	2504	2807	2640	3524	3288	3847	4846	5137	4589	6896	6757	6366	9256	8283	14742	14148	17852	30386	41122	753910	494287	409672	0	0	0	0	0	0
LFQ	9	0	0	17	743	1196	1147	1008	1108	1093	1209	1249	1406	1476	1641	2295	2684	2294	3189	2924	3668	3864	3853	4257	4479	5114	5467	5187	7259	7820	7578	7154	10301	8066	11940	8929	17046	16338	13375	22208	32141	35852	49495	73870	207470	1268017	0	0
LFQ	10	0	0	16	615	1047	1055	875	940	953	1086	1152	1260	1361	1492	2111	2469	2185	2832	2772	3457	3611	3561	4078	4151	4798	5008	5042	6764	7357	7248	6701	9783	8270	10810	9614	15944	15426	13399	22129	30023	33796	47125	74324	208255	1282532	0	0
