patient,sample,lane,fastq_1,fastq_2
KMS12BM,KMS12BM,20231208_PLT-04_EBSL-0477-OBPA_KMS-812-5mil-DE090-2A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-1/KMS-812-5mil-DE090-2A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-1/KMS-812-5mil-DE090-2A1A-1_R2.fastq.gz
KMS12BM,KMS12BM,20231208_PLT-04_EBSL-0477-OBPA_KMS-812-5mil-DE090-2A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-2/KMS-812-5mil-DE090-2A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-2/KMS-812-5mil-DE090-2A1A-2_R2.fastq.gz
KMS12BM,KMS12BM,20231208_PLT-04_EBSL-0477-OBPA_KMS-812-5mil-DE090-2A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-3/KMS-812-5mil-DE090-2A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-3/KMS-812-5mil-DE090-2A1A-3_R2.fastq.gz
KMS12BM,KMS12BM,20231208_PLT-04_EBSL-0478-OBPA_KMS-812-5mil-DE090-2A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-1/KMS-812-5mil-DE090-2A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-1/KMS-812-5mil-DE090-2A1A-1_R2.fastq.gz
KMS12BM,KMS12BM,20231208_PLT-04_EBSL-0478-OBPA_KMS-812-5mil-DE090-2A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-2/KMS-812-5mil-DE090-2A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-2/KMS-812-5mil-DE090-2A1A-2_R2.fastq.gz
KMS12BM,KMS12BM,20231208_PLT-04_EBSL-0478-OBPA_KMS-812-5mil-DE090-2A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-3/KMS-812-5mil-DE090-2A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/KMS-812-5mil-DE090-2A1A-3/KMS-812-5mil-DE090-2A1A-3_R2.fastq.gz
MM1S,MM1S,20231208_PLT-04_EBSL-0477-OBPA_MM1-S-5mil-DE090-3A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-1/MM1-S-5mil-DE090-3A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-1/MM1-S-5mil-DE090-3A1A-1_R2.fastq.gz
MM1S,MM1S,20231208_PLT-04_EBSL-0477-OBPA_MM1-S-5mil-DE090-3A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-2/MM1-S-5mil-DE090-3A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-2/MM1-S-5mil-DE090-3A1A-2_R2.fastq.gz
MM1S,MM1S,20231208_PLT-04_EBSL-0477-OBPA_MM1-S-5mil-DE090-3A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-3/MM1-S-5mil-DE090-3A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-3/MM1-S-5mil-DE090-3A1A-3_R2.fastq.gz
MM1S,MM1S,20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-1/MM1-S-5mil-DE090-3A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-1/MM1-S-5mil-DE090-3A1A-1_R2.fastq.gz
MM1S,MM1S,20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-2/MM1-S-5mil-DE090-3A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-2/MM1-S-5mil-DE090-3A1A-2_R2.fastq.gz
